media,zipcode
viulacerdanya.cat,17539
maestrat.tv,12500
nitidia.cat,25005
buris-ana,12530
diariobajocinca.com,22520
documentsadjunts.com,07500
tvdigitalontinyent.com,46870
sominca.cat,07300
tresdeu.com,46016
canal4diario.com,07121
paral·lel oh!,08015
lletraferit.com + lletraferit,46010
luxury traveling magazine,08930
igualadanews.cat,08700
menorca.info i diari menorca,07714
esplugues.digital  i  despí.digital,08950
respira comerç,17500
apropebre.cat,43590
territorirural.cat,17751
radiofarmenorca.com  i  ràdio far menorca,07740
teleponent.cat,25008
revista orgull + orgull.barcelona + revista culturab i culturab.cat,08025
www.viumolinsderei.com i www.santboidiari.com,08750
castelldefels.digital + gava.info,08850
verlanga.com,46006
sapsque.com,08911
top girona,17007
palmesana.com,07005
equinoxmagazine.fr,08013
jornal.cat,08196
www.diaridelallengua.cat,08030
www.totlleida.cat,25003
aboriginemag.com,43870
tv girona,17001
ludica.cat,07014
tot molins,08750
laguait.cat,17100
tot-hospitalet.cat,08901
paris-barcelona.com,69003
el3.cat,08014
diaridebenicassim.com + escenacultural.net,12560
inediteducacion.com,08860
l’informatiu de palau-solità i plegamans,08184
balaguer.tv,25600
www.mollerussa.tv,25230
centpercent.cat,07500
www.mallorcadiario.com,07141
el periòdic d&apos;andorra i www.elperiòdic.ad,
la fura,08720
www.diaridegirona.cat,17002
viure als pirineus  i  www.viurealspirineus.cat,25700
indicador d&apos;economia   -    la guia de reus   -    laguiadereus.com   -    indicadordeeconomia.com,43206
sa plaça i saplaça.cat,07300
wwww.monterrassa.cat + monterrassa.cat/castellbisbal,08221
www.meseconomia.cat  i  www.larepublicaesportiva.cat,08003
s&apos;altra música  ·  saltramusica.cat,07240
l&apos;eco de sitges i lecodesitges.cat,08870
martorelltv.com,08740
"camacuc, revista per xiquets i xiquetes",46200
festacatalunya.cat,08711
www.loest.cat,25300
tothosap! garraf,08800
zona sec  i  zonasec.cat,08004
la marina i lamarina.cat,08038
revista groc i revistagroc.com,25600
info roda  i  info calafell,08720
www.canalbaixpenedes.cat,43881
loclar  i  loclar.es,46870
"el nostre ciutat, el nostre muro, el nostre banyeres, el nostre bocairent, el nostre xixona, el nostre oliva  i  elnostreciutat.com",03801
"suheca, estil i suhecapuntcom.com",46410
baixcamp.radiociutat.com i baix camp ràdio,43002
la veu d&apos;algemesí   www.laveudalgemesi.es,46680
laconca51.cat,43400
arabalears.cat i ara balears,07001
lamarina.eldiario.es,03700
"blanquinegres.com, cuinavalenciana.net i serranostra.com",46890
www.castellvilarenc.info,08296
www.regio7.cat i regio7,08243
portada.info  i  www.portada.info,03400
tucomarca.com,46360
escaparate  i  escaparatedigital.com,03440
l&apos;estel,07001
www.nuvol.com,08001
magazine lleida,25001
www.diariodemallorca.es,07006
www.socpetit.cat,08770
"sermaestrat.com, elcafedepipa.com. ser maestrat i ser vall d&apos;uixó",12500
castello24.com,46005
tempsarts.cat,46001
"onamediterrania.cat, ploma.cat + ràdio onamediterrània",07001
www.alcaldes.eu,08034
el temps  i  eltemps.cat,46001
"pànxing berguedà, bages i solsonès,  pànxing cerdanya,   pànxing pirineus,    pànxing maresme,   see barcelona  i www.panxig.net",31500
www.lleidadiari.cat,25001
totbarcelona.cat,08007
diari de terrassa i www.diarideterrassa.com,08221
l&apos;ham de banyoles,17820
"7 dies actualitat de vinaròs,  7 dies actualitat de benicarló  i  7diesactualitat.com",12500
el periòdic d&apos;ontinyent  i  periodicontinyent.com,46870
can fali marina alta  i  canfalimarinaalta.com,03700
semanario valle de elda  i  valledeelda.com,03600
el saò  i  revistasao.cat,46018
"tot sant cugat, món sant cugat,  tot temàtic (casa, salut i gastro), totsantcugat.cat, viaempresa.cat, totrubi.cat i totcerdanyola.cat",08172
"rctgn.cat, campingscat.com + ràdio ciutat tarragona",43002
www.surtdecasa.cat,43520
www.revistacambrils.cat  i  revista cambrils,43850
"vadevi.cat, balearsvadevi, vadegust.cat i monplaneta.cat",08007
setmanari sóller   i   elsoller.cat,07011
més! osona ripollès garrotxa moianès  +  mesosona.cat,08500
les mesures del pirineu,25700
onabages.cat,08650
ciutadella de franc,07760
periódico de ibiza y formentara  i  periodicodeibiza.es,07800
el mònic + elmonic.cat,43830
els colors pla de l&apos;estany,17820
"www.el9nou.cat, el 9 nou vallès oriental i el 9 nou osona i el ripollès",08500
anoia diari   -   www.anoiadiari.cat,08700
"catalunyaplural.cat, diarieducacio.cat, diaritreball.cat i diarisanitat.cat",08029
"ebredigital.cat, canal te_tv  i  canal te24 _ tv",43500
"el cargol, elcargol.com, penedès econòmic, penedeseconomic.com i lesvegueries.cat",08720
"valenciaextra.com, alicantextra.com i castelloextra.com",46017
laciutat.cat,43001
l&apos;alcúdia 752,46250
ciutat de carlet,46240
pallarsdigital.cat,25620
www.lleida.com,25008
revista poble i revistapoble.net,12540
"tdbactualitat.cat, torredembarra actualitat i llevant actualitat",43830
la semaine du roussillon i lasemaineduroussillon.com,66000
catalunyareligio.cat i catalunya religió,08025
santcugat magazine,08172
revista útil,07702
www.amartorell.com,08783
www.manresadiari.cat + esport central,08240
l&apos;enllaç dels anoiencs  i  www.latossa.com,08700
"reclam magazín, reclam cerdanya i reclam la garrotxa ""el 29""",08500
"diari més ebre, mesebre.cat i canalte.cat",43007
revista badalona 2000,08912
reusdigital.cat,43204
revista de vic i tot osona,08500
catalunyapress.cat    vilapress.cat,08007
www.lescroniques.com,08224
"racocatala.cat, viasona.cat i audio.cat",08010
sies.tv,17001
elmon.cat + moneconomia.cat,08221
www.saveu.cat i sa veu,07100
la bústia  i  labustia.cat,08640
eixdiari.cat,08800
"larepublica.cat, festadirecte.cat, lasrepublicas.com i elmoncasteller.cat",08003
www.emporda.info,17600
el nou de l’empordà,17200
elcugatenc.cat,08172
la borrufa,25568
"diari de badalona, diaridebadalona.com, tot ... i més, totbadalona.cat i iluro",08911
20 minutos - ed. barcelona,50001
andreuenc.cat  i  esportandreuenc.cat,08030
freqüència,08241
la clau  i   laclau.cat,08340
"cop d&apos;ull, uncopdull.com, canal21ebre.com, marfanta.com i 21radio.cat",43500
"més tarragona reus costa daurada, més vila-seca  i   wwwdiarimes.com",43005
comarquesnord.cat  -  setmanari d&apos;informació comarcal notícies,12300
www.capvermell.org,07580
www.noticiestgncat,43003
www.gerio.cat,17190
mel i sucre  i  www.melisucre.cat,07240
www.santandreutv.com,08740
aquí berguedà i www.aquiberguedà.cat,08600
"la torre de barcelona (ed. sarrià), la torre de barcelona – oci i cultura familiar, latorredebarcelona.com i elgourmetcatala.cat",08024
www.donesdigital.com,08007
laprensamagazine.cat,08860
cala millor 7,07550
www.social.cat,08010
www.ara.cat i diari ara,08360
tribuna maresme,08330
puntinformatiu.cat  i  punt informatiu pollença,07460
"el iris, eliris.cat, foodies on menorca, foodiesonmenorca.com, dferreries, i nua",07760
www.isabadell.cat,08206
l&apos;opinió revista mensual d&apos;informació (ed. baix llobregat),08901
el mirall.net - elmirall.net,08922
www.territoris.cat  i territoris magazine,25230
comaques de ponent i comarquesdeponent.cat,25300
capgròs · 3 viles · capgros.com,08301
dbalears.cat,07011
"www.mallorcactual.com, www.manacormanacor.com i www.viufelanitx.com",07500
wwww.elcritic.cat,08010
tots21.cat,43007
"www.diarilaveu.cat, laveudelsllibres.cat i nosaltreslaveu.cat",46270
www.aramultimedia.com,03801
www.veuanoia.cat  i  la veu de l&apos;anoia,08700
www.canalajuntament.cat  www.elpolltv.cat,17240
montpeità  i  www.montpeita.cat,08272
www.elbaix.cat,08980
tot caldes de montbui,08140
www.festescatalunya.com,08401
anoiamagazín,08700
metadata.cat,08005
la mañana i lamanyana.cat,25004
tasta.cat,08600
www.tarrega.tv,25300
wwww.parlantdedetalls.cat,08292
bellaterradiari.cat i bellaterra diari,08193
notícies del matarranya,44586
"cerdanyola al dia, ripollet al dia, cerdanyolaaldia.com i ripolletaldia.com",08290
l&apos;independent de gràcia i www.independent.cat,08012
larella la revista quinzenal del lluçanès  i  larella.cat,08513
"línia vallès, sants, les corts, nou barris, sant andreu, sant martí, horta, sarrià, badalona, eixample, ciutat vella, gràcia... i mitjans digitals",08013
"cop d&apos;ull, uncopdull.com, canal21ebre.com i marfanta.com",43500
marina360.cat  i  ràdio marina,17430
www.radioarrels.cat,66000
lesmuntanyes.com i el gratis,03801
www.revistamirall.com,08002
www.media.cat,08012
revista mira&apos;m,17780
www.areavisual.com,08012
somiatruites,07701
"diari de sabadell, èxit vallès i diarisabadell.com",08202
www.menorcaaldia.com,07702
www.xcatalunya.cat,08036
www.hibridosyelectricos.com,08950
www.gastronòmicament.cat,07005
junior-report.cat,08010
ebreactiu.cat,43870
lamira.cat  i  magazín la mira,08010
digitalmanacor.com,07500
www.adolescents.cat,08500
el jardí de sant gervasi i sarrià  i  diarieljardí.cat,08034
la veu d&apos;alginet  -  laveudalginet.es,46230
lleida24.cat,25006
diaridelmaestrat.com,12500
calderí  i  calderi.cat,08211
diari de rubí,08036
"somgandia.com, somsafor.com, gentedelasafor.es i valenciaesnoticia.com",46701
ahoramarinabaixa.es,03590
foravila.net,07100
fibwidiario.com,07121
la premsa del baix i www.lapremsadelbaix.es,08940
canalreustv.cat + canal reus tv,43204
firesifestes.es,07350
www.culturalia.club,
culturaipaisatge.cat  i  cultura i paisatge a la ruta del císter,43800
spacelaw.net,08013
tv costa brava,17248
tot cerdanyola,08172
fullsdenginyeria.cat,08003
"la opinión de torrent, laopiniondetorrent.es i cronica.es",46900
radiocapital.cat + ràdio capital,17256
gente catalunya,28006
la positiva  i  lapositiva.cat,08022
manacorcomarcal.com  i  manacor comarcal,07500
"sommollet, granollers, la llagosta, les franqueses, montornès, parets, martorelles, somgranollers, mollet, vallès, lesfranqueses, parets, montmeló, mortornès, martorelles, santfost i lallagosta.cat, mollet a mà i molletama.cat",08020
www.infoanoia.cat,08788
onacatradio.cat,08191
apuntmenorca.com  i apunt menorca,07701
revista07500.com,07500
revista la ciutat,43001
qualsevolnit.com,08028
www.expresdesantandreu.cat,08389
l&apos;alzina,08870
grup nació + tarragonadigital.cat + aguaita.cat + elmondelatele.cat,08202
diarisantquirze.cat,08192
noudiari.es,07800
totpla.cat,07260
"e-sports.cat, laradiodelsnens.cat, radiojove.cat, esportsradio.cat, onadigital.cat",08500
www.uepmallorca.app,07600
7ciencies.cat,08950
