media,area_of_influence,ojd,CCAA,PROV,AREA,platform,PGD,distribution,Origin
fibwidiario.com,Balears,,IB,IB,,digital,,,AMIC
laconca51.cat,Catalunya,OJD,CAT,CAT,,digital,,,AMIC
festacatalunya.cat,ori,OJD,CAT,CAT,,digital,,,AMIC
adolescents.cat,Catalunya,OJD,CAT,CAT,,digital,,,AMIC
eldiari.online,Castelló,,PV,PV,,digital,,,AMIC
laopiniondetorrent.es,"Torrent, València",,PV,PV,V,digital,,,AMIC
campingscat.com,Catalunya,OJD,CAT,CAT,,digital,,,AMIC
Catalunyareligio.cat  ,Catalunya,OJD,CAT,CAT,,digital,,,AMIC
adolescents.cat,Catalunya,no OJD,CAT,CAT,,digital,,,AMIC
sapsque.com,"Badalona, Barcelonès",no OJD,CAT,B,,digital,,,AMIC
apuntmenorca.com,Manacor i comarca,,IB,IB,me,digital,,,AMIC
laveudalginet.es,València,,PV,PV,V,digital,,,AMIC
fosbury.cat,Catalunya,OJD,CAT,CAT,,digital,,,AMIC
tornaveu.cat,Catalunya,OJD,CAT,CAT,,digital,,,AMIC
escenacultural.net,,,PV,PV,,digital,,,AMIC
diaridebenicassim.com,Castelló,,PV,PV,,digital,,,AMIC
exterior.cat,Catalunya ,no OJD,CAT,CAT,,digital,,,AMIC
areavisual.cat,Catalunya,no OJD,CAT,CAT,,digital,,,AMIC
elnostreciutat.com (elnostreperiodic.com),Pais Valencià,,PV,PV,Al,digital,,,AMIC
gentedelasafor.es,Pais Valencià,,PV,PV,V,digital,,,AMIC
noticiasmarinaalta.es ,Pais Valencià,,PV,PV,V,digital,,,AMIC
comunicacio21.cat,Catalunya,OJD,CAT,CAT,,digital,,,AMIC
media.cat,Catalunya,no OJD,CAT,CAT,,digital,,,AMIC
Núvol.com,Catalunya,OJD,CAT,CAT,,digital,,,AMIC
cultura21.cat,Catalunya,no OJD,CAT,CAT,,digital,,,AMIC
frontissa.cat,Catalunya,no OJD,CAT,CAT,,digital,,,AMIC
culturalia.club,Andorra i pirineus,,AD,AND,,digital,,,AMIC
surtdecasa.cat,Catalunya ,OJD,CAT,CAT,varisIP,digital,,,AMIC
sies.tv,Catalunya,no OJD,CAT,CAT,,digital,,,AMIC
festadirecte.cat,Catalunya,OJD,CAT,CAT,,digital,,,AMIC
festescatalunya.com,Catalunya,no OJD,CAT,CAT,,digital,,,AMIC
revistamirall.com,Catalunya,OJD,CAT,CAT,,digital,,,AMIC
culturaipaisatge.cat ,Comarques de Tarragona i Urgell,no OJD,CAT,T,,digital,,,AMIC
tempsarts.cat,Pais Valencià,,PV,PV,,digital,,,AMIC
verlanga.com,Pais Valencià,,PV,PV,V,digital,,,AMIC
elculturista.cat,Barcelona Ciutat,no OJD,CAT,B,,digital,,,AMIC
espai.media,Catalunya,no OJD,CAT,CAT,,digital,,,AMIC
diaridelallengua.cat,Catalunya,no OJD,CAT,CAT,,digital,,,AMIC
aboriginemag.com,Catalunya,no OJD,CAT,CAT,,digital,,,AMIC
donesdigital.cat,Catalunya,no OJD,CAT,CAT,,digital,,,AMIC
elmon.cat ,Catalunya,OJD,CAT,CAT,,digital,,,AMIC
jornal.cat,Catalunya,OJD,CAT,CAT,,digital,,,AMIC
diarieducacio.cat,Catalunya,OJD,CAT,CAT,,digital,,,AMIC
inediteducacion.com ( ineditweb.es),Catalunya,no OJD,CAT,CAT,,digital,,,AMIC
elmoncasteller.cat,"Catalunya,El Principat, principalment i territoris de parla catalana",OJD,CAT,CAT,,digital,,,AMIC
vadevi.cat,Catalunya,OJD,CAT,CAT,,digital,,,AMIC
valledeelda.com,Pais Valencià,,PV,AL,,digital,,,AMIC
viaempresa.cat,Catalunya,OJD,CAT,CAT,,digital,,,AMIC
carrerlliure.cat,Catalunya,no OJD,CAT,CAT,,digital,,,AMIC
canalte24.cat ,Tarragona i terres de l'Ebre,no OJD,CAT,T,,digital,,,AMIC
esportsradio.cat,Catalunya (radio),no OJD,CAT,CAT,,digital,,,AMIC
larepublicaesportiva.cat ,Catalunya,OJD,CAT,CAT,,digital,,,AMIC
mon,Catalunya,OJD,CAT,CAT,,digital,,,AMIC
esportbalear.es,Balears,,IB,IB,,digital,,,AMIC
esportandreuenc.cat,"Sant Andreu, Barcelona (radio)",no OJD,CAT,B,,digital,,,AMIC
lapositiva.cat,Catalunya,no OJD,CAT,CAT,,digital,,,AMIC
escaparatedigital.com,Pais Valencià,,PV,PV,Al,digital,,,AMIC
elgourmetcatala.cat,Catalunya,no OJD,CAT,CAT,,digital,,,AMIC
foodiesonmenorca.com,"Menorca, Illes Balears i territoris de parla catalana",,IB,IB,me,digital,,,AMIC
gastronomicament.cat,Mallorca,,IB,IB,ma,digital,,,AMIC
vadegust.cat, paisos catalans ,OJD,CAT,CAT,,digital,,,AMIC
balearsvadegust.cat,Balears i paisos catalans ,,IB,IB,,digital,,,AMIC
hibridosyelectricos.com(publico.es),"Nacional, Catalunya",OJD,CAT,ESCAT,,digital,,,AMIC
diaridelmaestrat.com,València,,PV,PV,cast,digital,,,AMIC
el9nou.cat ,Osona,OJD,CAT,B,cc,digital,,,AMIC
el9nou.cat ,Vallès oriental,OJD,CAT,B,,digital,,,AMIC
regio7.cat,Catalunya Central,OJD,CAT,B,cc,digital,,,AMIC
eltemps.cat,Pais Valencià,,PV,PV,,digital,,,AMIC
metadata.cat,Catalunya,no OJD,CAT,CAT,,digital,,,AMIC
blanquinegres.com,Pais Valencià,,PV,PV,,digital,,,AMIC
Junior-report.cat,Catalunya,OJD,CAT,CAT,,digital,,,AMIC
saplaca.cat,Mallorca,,IB,IB,ma,digital,,,AMIC
totpla.cat,Pla de Mallorca,,IB,IB,mi.,digital,,,AMIC
lasrepublicas.com ,Estat Espanyol (cast),OJD,CAT,ES,,digital,,,AMIC
indicadordeeconomia.com,"Catalunya, Tarragona",OJD,CAT,CAT,,digital,,,AMIC
meseconomia.cat,Catalunya,OJD,CAT,CAT,,digital,,,AMIC
penedeseconomic.com,Catalunya,no OJD,CAT,CAT,,digital,,,AMIC
la-clau.net,Catalunya i Cat nord,OJD,CAT,CATNORD,,digital,,,AMIC
lesvegueries.cat,Catalunya,OJD,CAT,CAT,,digital,,,AMIC
ara.cat,Catalunya,OJD,CAT,CAT,,digital,,,AMIC
catalunyaplural.cat ,Catalunya,OJD,CAT,CAT,,digital,,,AMIC
catalunyapress.cat,Catalunya,OJD,CAT,CAT,,digital,,,AMIC
elcritic.cat,Països catalans,OJD,CAT,CAT,,digital,,,AMIC
elmon.cat,Catalunya,OJD,CAT,CAT,,digital,,,AMIC
larepublica.cat ,Catalunya,OJD,CAT,CAT,,digital,,,AMIC
naciodigital.cat,Catalunya,OJD,CAT,CAT,,digital,,,AMIC
xcatalunya.cat,Catalunya,OJD,CAT,CAT,,digital,,,AMIC
onadigital.cat,"Catalunya,Vic (radio)",no OJD,CAT,CAT,,digital,,,AMIC
cronica.es,Pais Valencià,,PV,PV,Valencià,digital,,,AMIC
sermaestrat.com,Pais Valencià,,PV,PV,,digital,,,AMIC
somgandia.com ,València,,PV,PV,V,digital,,,AMIC
somsafor.com,València,,PV,PV,V,digital,,,AMIC
radiojove.cat,"Catalunya,Vic (radio)",no OJD,CAT,CAT,,digital,,,AMIC
aguaita.cat ,Terres de l'Ebre,OJD,CAT,T,te,digital,,,AMIC
anoiadiari.cat,Anoia,OJD,CAT,B,cc,digital,,,AMIC
aquibergueda.cat,"Berguedà, Bages Nord, Solsonès Oest",OJD,CAT,B,cc,digital,,,AMIC
baixcampradio.com,Baixcamp,OJD,CAT,T,,digital,,,AMIC
balaguer.tv,Balaguer,OJD,CAT,L,,digital,,,AMIC
bellaterradiari.cat,Bellaterra,OJD,CAT,B,amb,digital,,,AMIC
canal21ebre.com,Terres de l'Ebre,OJD,CAT,T,te,digital,,,AMIC
capgros.com,Maresme,OJD,CAT,B,amb,digital,,,AMIC
comarquesdeponent.com,comarques de Ponent,OJD,CAT,L,,digital,,,AMIC
comarquesnord.cat," Sud Tarragona, : comarques dels Ports i el Maestrat (al nord del País Valencià) i del Matarranya (al sud de Terol)",OJD,CAT,T,,digital,,,AMIC
diaridegirona.cat,Demarcació Girona,OJD,CAT,G,,digital,,,AMIC
diaridesabadell.com,Sabadell,OJD,CAT,B,amb,digital,,,AMIC
diarideterrassa.com,Terrassa,OJD,CAT,B,amb,digital,,,AMIC
diarimes.com,"Tarragonès, Reus, Camp, Ebre, Penedès",OJD,CAT,T,,digital,,,AMIC
ebredigital.cat,Terres de l'Ebre,OJD,CAT,T,te,digital,,,AMIC
eixdiari.cat,"Garraf, Penedès",OJD,CAT,B,,digital,,,AMIC
elcargol.com,"Penedès, Garraf, Anoia",OJD,CAT,B,,digital,,,AMIC
elcugatenc.cat,Sant Cugat del Vallès,OJD,CAT,B,amb,digital,,,AMIC
empordà.info,Empordà,OJD,CAT,G,,digital,,,AMIC
expresdesantandreu.cat,"Barcelonès, Barri Sant Andreu",OJD,CAT,B,amb,digital,,,AMIC
gerio.cat,Girona,OJD,CAT,G,,digital,,,AMIC
infoanoia.cat,anoia,OJD,CAT,B,cc,digital,,,AMIC
infocamp.cat,"Tarragonès,camp de Tarragona",OJD,CAT,T,ct,digital,,,AMIC
isabadell.cat,Sabadell,OJD,CAT,B,amb,digital,,,AMIC
labustia.cat,Baix Llobregat nord,OJD,CAT,B,amb,digital,,,AMIC
laciutat.cat,"territorials Catalunya, AND",OJD,CAT,CATAND,varisIP,digital,,,AMIC
lafurapenedes.cat,Penedés,OJD,CAT,B,,digital,,,AMIC
laguiadereus.com,Reus,OJD,CAT,T,ct,digital,,,AMIC
lamanyana.cat,"lleida, Demarcació de Lleida",OJD,CAT,L,,digital,,,AMIC
lapremsadelbaix.es,BaixLlobregat,OJD,CAT,B,amb,digital,,,AMIC
líniaciutatvella.cat,Barcelonès,OJD,CAT,B,amb,digital,,,AMIC
liniacornella.cat,Baix Llobregat,OJD,CAT,B,amb,digital,,,AMIC
líniaeixample.cat,Barcelonès,OJD,CAT,B,amb,digital,,,AMIC
líniagracia.cat,Barcelonès,OJD,CAT,B,amb,digital,,,AMIC
líniahorta.cat,Barcelonès,OJD,CAT,B,amb,digital,,,AMIC
liniahospitalet.cat,Barcelonès,OJD,CAT,B,amb,digital,,,AMIC
línialescorts.cat,Barcelonès,OJD,CAT,B,amb,digital,,,AMIC
liniamar.cat,Baix Llobregat,OJD,CAT,B,amb,digital,,,AMIC
línianord.cat,"Badalona, Barcelonès",OJD,CAT,B,amb,digital,,,AMIC
línianoubarris.cat,Barcelonès,OJD,CAT,B,amb,digital,,,AMIC
liniarambla.cat,Barcelonès,OJD,CAT,B,amb,digital,,,AMIC
líniasantandreu.cat,Barcelonès,OJD,CAT,B,amb,digital,,,AMIC
líniasantmarti.cat,Barcelonès,OJD,CAT,B,amb,digital,,,AMIC
líniasants.cat,Barcelonès,OJD,CAT,B,amb,digital,,,AMIC
líniasarria.cat,Barcelonès,OJD,CAT,B,amb,digital,,,AMIC
liniatres.cat,Baix Llobregat,OJD,CAT,B,amb,digital,,,AMIC
líniavalles.cat,Vallès Oriental,OJD,CAT,B,amb,digital,,,AMIC
lleida.com,Lleida i prov de lleida,OJD,CAT,L,,digital,,,AMIC
lleidadiari.cat ,lleida i comarques de Lleida,OJD,CAT,L,,digital,,,AMIC
manresadiari.cat ,Bages,OJD,CAT,B,cc,digital,,,AMIC
marfanta.com,Terres de l'Ebre,OJD,CAT,T,te,digital,,,AMIC
mesebre.cat,Terres de l'Ebre,OJD,CAT,T,te,digital,,,AMIC
mesosona.cat,Osona,OJD,CAT,B,cc,digital,,,AMIC
mollerussa.tv,Mollerussa,OJD,CAT,L,,digital,,,AMIC
molletama.cat,Mollet i baix Vallès Oriental,OJD,CAT,B,amb,digital,,,AMIC
monterrassa.cat,Terrassa,OJD,CAT,B,amb,digital,,,AMIC
monterrassa.cat,Castellbisbal,OJD,CAT,B,amb,digital,,,AMIC
naciodigital.cat,Baix montseny/ Vallès Or i la Selva,OJD,CAT,B,,digital,,,AMIC
naciodigital.cat,Baix Penedés,OJD,CAT,T,ct,digital,,,AMIC
naciodigital.cat,Berguedà,OJD,CAT,B,,digital,,,AMIC
naciodigital.cat,El Ripollès,OJD,CAT,GI,gi,digital,,,AMIC
naciodigital.cat,Garrotxa,OJD,CAT,GI,gi,digital,,,AMIC
naciodigital.cat,Girona,OJD,CAT,GI,gi,digital,,,AMIC
naciodigital.cat,"Granollers, Vallès Oriental",OJD,CAT,B,amb,digital,,,AMIC
naciodigital.cat,Lleida,OJD,CAT,L,,digital,,,AMIC
naciodigital.cat,Manresa,OJD,CAT,B,cc,digital,,,AMIC
naciodigital.cat,Solsona,OJD,CAT,B,,digital,,,AMIC
naciodigital.cat,Osona,OJD,CAT,B,cc,digital,,,AMIC
naciodigital.cat,Sabadell,OJD,CAT,B,amb,digital,,,AMIC
naciodigital.cat,Sant Cugat del Vallès,OJD,CAT,B,amb,digital,,,AMIC
naciodigital.cat,Tarragona,OJD,CAT,T,,digital,,,AMIC
noticiestgn.cat,Tarragonès,OJD,CAT,T,ct,digital,,,AMIC
onabages.cat,Bages,OJD,CAT,B,cc,digital,,,AMIC
pallarsdigital.cat,Pallars Jussà i Sobirà,OJD,CAT,L,,digital,,,AMIC
rctgn.cat,Camp de Tarragona,OJD,CAT,T,,digital,,,AMIC
reusdigital.cat,Baix Camp,OJD,CAT,T,ct,digital,,,AMIC
revistacambrils.cat,"Tarragonès, Cambrils, Vandellòs i Hospitalet de l’Infant",OJD,CAT,T,,digital,,,AMIC
rubitv.cat (grup naciodigital),Rubí,OJD,CAT,B,amb,digital,,,AMIC
somgranollers.cat ,"Granollers, Vallès Oriental",OJD,CAT,B,amb,digital,,,AMIC
somlallagosta.cat,"Vallès Oriental, LaLlagosta",OJD,CAT,B,amb,digital,,,AMIC
somlesfranqueses.cat,"Vallès Oriental, Les Franqueses",OJD,CAT,B,amb,digital,,,AMIC
sommartorelles.cat,"Vallès Oriental, Martorelles",OJD,CAT,B,amb,digital,,,AMIC
sommollet.com,Vallès Oriental,OJD,CAT,B,amb,digital,,,AMIC
sommontmeló.cat,"Vallès Oriental, Montmeló",OJD,CAT,B,amb,digital,,,AMIC
sommontornès.cat,"Vallès Oriental, Montornés",OJD,CAT,B,amb,digital,,,AMIC
somparets.cat,"Vallès Oriental, Parets",OJD,CAT,B,amb,digital,,,AMIC
somsantfost.cat,"Vallès Oriental, Sant Fost",OJD,CAT,B,amb,digital,,,AMIC
somvalles.cat ,Vallès Oriental,OJD,CAT,B,amb,digital,,,AMIC
tarragona21.com ,"Tarragonès, Baix Camp",OJD,CAT,T,,digital,,,AMIC
tarragonadigital.com,Demarcació Tarragona,OJD,CAT,T,ct,digital,,,AMIC
tarrega.tv,Tàrrega,OJD,CAT,L,,digital,,,AMIC
tdbactualitat.cat,"Torredembarra, Baix Gaià (Tarragonès Nord)",OJD,CAT,T,,digital,,,AMIC
Territoris.cat,"Pla d'Ugell i Garrigues, Noguera, Pirineus, Segarra, Segrià i Urgell",OJD,CAT,L,,digital,,,AMIC
totbarcelona.cat,Barcelona,OJD,CAT,B,amb,digital,,,AMIC
totcerdanyola.cat,Cerdanyola,OJD,CAT,B,amb,digital,,,AMIC
totrubi.cat,Rubí,OJD,CAT,B,amb,digital,,,AMIC
totsantcugat.cat,Vallès Occidental,OJD,CAT,B,amb,digital,,,AMIC
veuanoia.cat,Anoia,OJD,CAT,B,cc,digital,,,AMIC
Viumolinsderei.com,Baix Llobregat,OJD,CAT,B,amb,digital,,,AMIC
Viurealspirineus.cat,Pirineus,OJD,CAT,L,pi,digital,,,AMIC
amartorell.com,Baix Llobregat,no OJD,CAT,B,amb,digital,,,AMIC
andreuenc.cat,Barcelona,no OJD,CAT,B,amb,digital,,,AMIC
apropebre.cat,Terres de l'Ebre,no OJD,CAT,T,,digital,,,AMIC
calderi.cat,"Caldes de Montbui, Vallès Oriental",no OJD,CAT,B,,digital,,,AMIC
canalbaixpenedes.cat,Baix Penedés,no OJD,CAT,B,,digital,,,AMIC
canalreustv.cat,"Reus, Baix Camp",no OJD,CAT,T,,digital,,,AMIC
canalte.cat,Terres de l'ebre,no OJD,CAT,T,te,digital,,,AMIC
castelldefels.digital,Castelldefels i Baix Llobregat,no OJD,CAT,B,amb,digital,,,AMIC
castellvilarenc.info,Castellbell i Vilar ,no OJD,CAT,B,cc,digital,,,AMIC
cerdanyolaaldia.com,"Cerdanyola,Vallès Occ",no OJD,CAT,B,amb,digital,,,AMIC
diaridebadalona.com,"Badalona, Barcelonès",no OJD,CAT,B,amb,digital,,,AMIC
diarieljardi.cat,"Barcelonès, Sarrià, Sant Gervasi",no OJD,CAT,B,amb,digital,,,AMIC
diarisantquirze.cat,"Vallès Occ, Sant Quirze del Vallès",no OJD,CAT,B,amb,digital,,,AMIC
districte7.cat,"Barcelona, L'hospitalet del llobregat",no OJD,CAT,B,amb,digital,,,AMIC
ebreactiu.cat,"Terres de l’Ebre, Priorat, Baix Maestrat i Matarranya",no OJD,CAT,T,,digital,,,AMIC
el3.cat,sants montjuich,no OJD,CAT,B,amb,digital,,,AMIC
elbaix.cat,Baix Llobregat,no OJD,CAT,B,amb,digital,,,AMIC
elmirall.net,Sta Coloma de Gramanet,no OJD,CAT,B,amb,digital,,,AMIC
elmonic.cat,"Torredembarra, Baix Gaià (Tarragonès Nord)",no OJD,CAT,T,,digital,,,AMIC
elpoll.tv,"Llagostera, Gironès",no OJD,CAT,GI,,digital,,,AMIC
eltotbadalona.cat,"Badalona, Barcelonès",no OJD,CAT,B,amb,digital,,,AMIC
esplugues.digital,Esplugues,no OJD,CAT,B,amb,digital,,,AMIC
gava.info,"Gavà, Baix Llobregat",no OJD,CAT,B,amb,digital,,,AMIC
independent.cat,"Gràcia, Barcelona",no OJD,CAT,B,amb,digital,,,AMIC
jornalet.com,"Vall d'Aran, occitània ",no OJD,CAT,CATNORD,,digital,,,AMIC
laclau.cat,Maresme,no OJD,CAT,B,amb,digital,,,AMIC
laguait.cat,La Bisbal i Empordà,no OJD,CAT,G,,digital,,,AMIC
lamarina.cat,"Barcelonès, la marina, Sants, Montjuic",no OJD,CAT,B,amb,digital,,,AMIC
lapremsamagazine.cat,"Barcelonès, Castelldefels, Baix Llobregat",no OJD,CAT,B,amb,digital,,,AMIC
larella.cat,"Osona, Barcelona",no OJD,CAT,B,,digital,,,AMIC
lasemaineduroussillon.com,"Pyrénées-Orientales, Rosselló",no OJD,CAT,GNORD,,digital,,,AMIC
latorredebarcelona.com,Barcelona,no OJD,CAT,B,amb,digital,,,AMIC
lecositges.cat,"sitges, Sant Pere de Ribes, Garraf",no OJD,CAT,B,,digital,,,AMIC
lleida24.cat,Lleida,no OJD,CAT,L,,digital,,,AMIC
madeinperpignan.com,Perpinyà,no OJD,CAT,CATNORD,,digital,,,AMIC
marina360.cat ,La Selva maritima i alt Maresme,no OJD,CAT,B,,digital,,,AMIC
martorelltv.com,"Martorell, Baix Llobregat",no OJD,CAT,B,amb,digital,,,AMIC
montpeita.cat,Sant Fruitós de Bages i comarca del Bages,no OJD,CAT,B,cc,digital,,,AMIC
radioarrels.cat,"Cataluny Nord, Perpinya",no OJD,CAT,GNORD,,digital,,,AMIC
radiocapital.cat,Baix Empordà,no OJD,CAT,GI,,digital,,,AMIC
radiositges.com,Garraf i Alt - Baix Penedès,no OJD,CAT,B,amb,digital,,,AMIC
revistaderipollet.cat,Ripollet,no OJD,CAT,B,amb,digital,,,AMIC
revistagroc.com ,La Noguera,no OJD,CAT,L,,digital,,,AMIC
ripolletaldia.cat,"Ripollet, V.Occ",no OJD,CAT,B,amb,digital,,,AMIC
Santandreutv.com,"Baix llobregat,Sant Andreu de la Barca, Abrera, Corbera, Pallejà, Collbató, Esparraguera, Martorell, Olesa, Sant Esteve Sesrovires i Castellví de Rosanes",no OJD,CAT,B,amb,digital,,,AMIC
santboidiari.com,Baix Llobregat,no OJD,CAT,B,amb,digital,,,AMIC
sitgesactiu.com,"Sitges, Barcelona, Sant Pere de Ribes i Vilanova i la G.",no OJD,CAT,B,amb,digital,,,AMIC
tasta.cat,"Berguedà, cultura popular",no OJD,CAT,B,cc,digital,,,AMIC
teleponent.cat,"Lleida, Garrigues, Noguera, Pirineu, Pla d’Urgell, Segarra, Segrià, Solsonès i Urgell",no OJD,CAT,L,,digital,,,AMIC
tot-hospitalet.cat,"L'Hospitalet,Barcelona",no OJD,CAT,B,amb,digital,,,AMIC
totlleida.cat,"Lleida, comarques de lleida",no OJD,CAT,L,,digital,,,AMIC
uncopdull.com,Terres de l'Ebre,no OJD,CAT,T,te,digital,,,AMIC
vilapress.cat,"Baix Llobregat, Hospitalet i Bcn(cast) ",no OJD,CAT,B,amb,digital,,,AMIC
zonasec.cat,"zonaFranca , Montjuic, Poble sec Barcelona",no OJD,CAT,B,amb,digital,,,AMIC
diaridesantacoloma.com,"Sta Coloma, Barcelonès",no OJD,CAT,B,amb,digital,,,AMIC
diaridesantadria.com,"Sant Adrià, Barcelonès",no OJD,CAT,B,amb,digital,,,AMIC
aolesa.com,Baix Llobregat,no OJD,CAT,B,amb,digital,,,AMIC
amasquefa.com,Baix Llobregat,no OJD,CAT,B,amb,digital,,,AMIC
aabrera.com,Baix Llobregat,no OJD,CAT,B,amb,digital,,,AMIC
aesparraguera.com,Baix Llobregat,no OJD,CAT,B,amb,digital,,,AMIC
madeinperpignan.com,Perpinyà,,CAT NORD,CATNORD,,digital,,,AMIC
lasemaineduroussillon.com,"Pyrénées-Orientales, Rosselló",,CAT NORD,GNORD,,digital,,,AMIC
radioarrels.cat,"Cataluny Nord, Perpinya",,CAT NORD,GNORD,,digital,,,AMIC
jornalet.com,"Vall d'Aran, occitània ",,CAT NORD,CATNORD,,digital,,,AMIC
puntinformatiu.cat,Pollença,,IB,IB,ma,digital,,,AMIC
canalajuntament.cat,Catalunya,no OJD,CAT,CAT,,digital,,,AMIC
laradiodelsnens.cat ,"Catalunya,Vic (radio)",no OJD,CAT,CAT,,digital,,,AMIC
lescroniques.com,Catalunya,no OJD,CAT,CAT,,digital,,,AMIC
loest.cat,Lleida i prov de lleida,no OJD,CAT,L,,digital,,,AMIC
revistahiperbolic.com,Balears,,IB,IB,,digital,,,AMIC
ahoramarinabaixa.es,Pais Valencià,,PV,PV,V,digital,,,AMIC
laveudelsllibres.cat,Pais Valencià,,PV,PV,V,digital,,,AMIC
7diesactualitat.com," Valencià, sud de Catalunya",,PV,PV,castisudCAT,digital,,,AMIC
lamira.cat,Catalunya,OJD,CAT,CAT,,digital,,,AMIC
paris-barcelona.com,Catalunya  i França,no OJD,CAT,CATNORD,,digital,,,AMIC
suasesport.com,València,,PV,PV,,digital,,,AMIC
monplaneta.cat,Catalunya,OJD,CAT,CAT,,digital,,,AMIC
territorirural.cat (monrural.cat),"Catalunya, territoris de parla catalana, centrat al Principat",OJD,CAT,CAT,,digital,,,AMIC
enderrock.cat,Catalunya,no OJD,CAT,CAT,,digital,,,AMIC
viasona.cat,Catalunya,OJD,CAT,CAT,,digital,,,AMIC
audio.cat    (tirabol),,no OJD,CAT,,,digital,,,AMIC
onacatradio.cat,Catalunya,no OJD,CAT,CAT,,digital,,,AMIC
parlant-de-detalls.cat,Catalunya,no OJD,CAT,CAT,,digital,,,AMIC
saltramusica.cat,Balears i paisos catalans ,,IB,IB,,digital,,,AMIC
uepmallorca.app,Mallorca,,IB,IB,ma,digital,,,AMIC
lasbandasdemusica.com,Pais Valencià,,PV,PV,cast,digital,,,AMIC
latraca.net,Pais Valencià,,PV,PV,cast,digital,,,AMIC
criar.cat (grup naciodigital),Catalunya,OJD,CAT,CAT,,digital,,,AMIC
socpetit.cat,Catalunya,OJD,CAT,CAT,,digital,,,AMIC
diaritreball.cat,Catalunya,OJD,CAT,CAT,,digital,,,AMIC
qualsevolnit.cat,Barcelona,no OJD,CAT,B,amb,digital,,,AMIC
alcaldes.eu,Catalunya,no OJD,CAT,CAT,,digital,,,AMIC
laveudalgemesi.es,València,,PV,PV,V,digital,,,AMIC
formularapida.net,Catalunya,no OJD,CAT,CAT,,digital,,,AMIC
elmondelatele.cat,Catalunya,OJD,CAT,CAT,,digital,,,AMIC
barcelonaalemany.com,Catalunya  (en alemany),no OJD,CAT,CAT,,digital,,,AMIC
Lesmuntanyes.com,Pais Valencià,,PV,PV,,digital,,,AMIC
timeout.cat,Catalunya,no OJD,CAT,CAT,,digital,,,AMIC
revistaglobalclub.es,Catalunya,no OJD,CAT,CAT,,digital,,,AMIC
defrancdigital.com,Manacor i comarca,,IB,IB,ma,digital,,,AMIC
equinoxmagazine.fr,Catalunya nord i Espanya,no OJD,CAT,CATNORD,,digital,,,AMIC
equinoxmagazine.fr,Catalunya nord i Espanya,,CAT NORD,CATNORD,,digital,,,AMIC
diariodemallorca.es (P.Iberica),Illes Balears,,IB,IB,ma,digital,,,AMIC
periodicontinyent.com,Pais Valencià,,PV,PV,V,digital,,,AMIC
diacritic.cat (fotlipou.com),Catalunya,no OJD,CAT,CAT,,digital,,,AMIC
ludica.cat,Catalunya i Barcelona,no OJD,CAT,CAT,,digital,,,AMIC
radiolavallduixo.com,Pais Valencià,,PV,PV,cast,digital,,,AMIC
aquicatalunha.com.br,,no OJD,CAT,CAT,BrasiliPortugal,digital,,,AMIC
castello24.com,Pais Valencià,,PV,PV,cast,digital,,,AMIC
diarisanitat.cat,Catalunya,OJD,CAT,CAT,,digital,,,AMIC
spacelaw.net   NO PUBLI,"Internacional, Catalunya",no OJD,CAT,CAT,"enAnglès,MUNDIAL",digital,,,AMIC
Social.cat,Catalunya,OJD,CAT,CAT,,digital,,,AMIC
tresdeu.com,Pais Valencià i Paisos Catalans ,,PV,PV,,digital,,,AMIC
suhecapuntcom.com,Sueca,,PV,PV,,digital,,,AMIC
teatral.net,Catalunya ,no OJD,CAT,CAT,,digital,,,AMIC
fulldenginyeria.cat,Catalunya,no OJD,CAT,CAT,,digital,,,AMIC
racocatala.cat,Catalunya,OJD,CAT,CAT,,digital,,,AMIC
tucomarca.com ,Pais Valencià,,PV,PV,V,digital,,,AMIC
catalunyamagrada.cat,Catalunya,OJD,CAT,CAT,,digital,,,AMIC
foravila.net,Illes Balears,,IB,IB,,digital,,,AMIC
panxing.net,"Cerdanya,Bergueda, Maresme, i pirineus",OJD,CAT,CAT,,digital,,,AMIC
loclar.es,Pais Valencià,,PV,PV,V,digital,,,AMIC
portada.info,Pais Valencià,,PV,AL,Al,digital,,,AMIC
balearsvadevi.cat,Balears,,IB,IB,,digital,,,AMIC
naciodigital.cat,,OJD,CAT,,,digital,,,AMIC
