TITULO,Link
7DIESACTUALITAT.COM,https://www.ojdinteractiva.es/muestra_acta/medios-digitales/9263/10/2024/
7TELEVALENCIA.COM,https://www.ojdinteractiva.es/muestra_acta/medios-digitales/9167/10/2024/
ACTUALIDADCASTELLON.COM,https://www.ojdinteractiva.es/muestra_acta/medios-digitales/10407/10/2024/
ACTUALIDADVALENCIA.COM,https://www.ojdinteractiva.es/muestra_acta/medios-digitales/7939/10/2024/
AGENDADEISA.COM,https://www.ojdinteractiva.es/muestra_acta/medios-digitales/10971/10/2024/
AGRONEWSCOMUNITATVALENCIANA.COM,https://www.ojdinteractiva.es/muestra_acta/medios-digitales/9027/10/2024/
ALGEMESIALDIA.COM,https://www.ojdinteractiva.es/muestra_acta/medios-digitales/7615/10/2024/
ALICANTEPLAZA.ES,https://www.ojdinteractiva.es/muestra_acta/medios-digitales/7635/10/2024/
ALICANTEXTRA.COM,https://www.ojdinteractiva.es/muestra_acta/medios-digitales/7827/10/2024/
AQUIMEDIOSDECOMUNICACION.COM,https://www.ojdinteractiva.es/muestra_acta/medios-digitales/8687/10/2024/
ARAMULTIMEDIA.COM,https://www.ojdinteractiva.es/muestra_acta/medios-digitales/9675/10/2024/
BETERA.COM,https://www.ojdinteractiva.es/muestra_acta/medios-digitales/7319/10/2024/
CAMP-DE-TURIA.ES,https://www.ojdinteractiva.es/muestra_acta/medios-digitales/10291/10/2024/
CANAL56.COM,https://www.ojdinteractiva.es/muestra_acta/medios-digitales/9775/10/2024/
CASTELLO24.COM,https://www.ojdinteractiva.es/muestra_acta/medios-digitales/9607/10/2024/
CASTELLOEXTRA.COM,https://www.ojdinteractiva.es/muestra_acta/medios-digitales/7831/10/2024/
CASTELLONBASE.COM,https://www.ojdinteractiva.es/muestra_acta/medios-digitales/9599/10/2024/
CASTELLONDIARIO.COM,https://www.ojdinteractiva.es/muestra_acta/medios-digitales/10887/10/2024/
CASTELLONINFORMACION.COM,https://www.ojdinteractiva.es/muestra_acta/medios-digitales/8999/10/2024/
CASTELLONOTICIES.COM,https://www.ojdinteractiva.es/muestra_acta/medios-digitales/9835/10/2024/
CASTELLONPLAZA.COM,https://www.ojdinteractiva.es/muestra_acta/medios-digitales/8667/10/2024/
CBNOTICIAS.COM,https://www.ojdinteractiva.es/muestra_acta/medios-digitales/10687/10/2024/
COMARCAL.TV,https://www.ojdinteractiva.es/muestra_acta/medios-digitales/9703/10/2024/
COMARCALCV.COM,https://www.ojdinteractiva.es/muestra_acta/medios-digitales/7351/10/2024/
COMARQUESNORD.CAT,https://www.ojdinteractiva.es/muestra_acta/medios-digitales/1076/10/2024/
COPEALCOY.ES,https://www.ojdinteractiva.es/muestra_acta/medios-digitales/9691/10/2024/
CRONICA.ES,https://www.ojdinteractiva.es/muestra_acta/medios-digitales/10127/10/2024/
DENIA.COM,https://www.ojdinteractiva.es/muestra_acta/medios-digitales/9639/10/2024/
DIADIA.CAT,https://www.ojdinteractiva.es/muestra_acta/medios-digitales/9667/10/2024/
DIARIDELMAESTRAT.COM,https://www.ojdinteractiva.es/muestra_acta/medios-digitales/9255/10/2024/
DIARIDIGITAL.ES,https://www.ojdinteractiva.es/muestra_acta/medios-digitales/7479/10/2024/
DIARILAVEU.CAT,https://www.ojdinteractiva.es/muestra_acta/medios-digitales/4886/10/2024/
DIARIO SIGLO XXI,https://www.ojdinteractiva.es/muestra_acta/medios-digitales/3224/10/2024/
DIARIODEALICANTE.NET,https://www.ojdinteractiva.es/muestra_acta/medios-digitales/7935/10/2024/
DIARIODELPUERTO.COM,https://www.ojdinteractiva.es/muestra_acta/medios-digitales/1009/10/2024/
DIGITALES DE LA MARINA ALTA Y BAIXA (P),https://www.ojdinteractiva.es/muestra_acta/medios-digitales/8815/10/2024/
BENISSADIGITAL.ES,https://www.ojdinteractiva.es/muestra_acta/medios-digitales/8823/10/2024/
CALPDIGITAL.ES,https://www.ojdinteractiva.es/muestra_acta/medios-digitales/8819/10/2024/
DENIADIGITAL.ES,https://www.ojdinteractiva.es/muestra_acta/medios-digitales/8831/10/2024/
TEULADAMORAIRADIGITAL.ES,https://www.ojdinteractiva.es/muestra_acta/medios-digitales/8827/10/2024/
XABIAALDIA.COM,https://www.ojdinteractiva.es/muestra_acta/medios-digitales/8835/10/2024/
E6D.ES,https://www.ojdinteractiva.es/muestra_acta/medios-digitales/9659/10/2024/
ELCAFEDEPIPA.COM,https://www.ojdinteractiva.es/muestra_acta/medios-digitales/7035/10/2024/
ELDIARIO.ES - COMUNIDAD VALENCIANA,https://www.ojdinteractiva.es/muestra_acta/medios-digitales/8195/10/2024/
ELDIARIO.ES - LA MARINA PLAZA,https://www.ojdinteractiva.es/muestra_acta/medios-digitales/7211/10/2024/
ELMERIDIANO.ES,https://www.ojdinteractiva.es/muestra_acta/medios-digitales/7327/10/2024/
ELNOSTRECIUTAT.COM,https://www.ojdinteractiva.es/muestra_acta/medios-digitales/9231/10/2024/
ELPERIODIC.COM,https://www.ojdinteractiva.es/muestra_acta/medios-digitales/2441/10/2024/
ELPERIODICODEAQUI.COM,https://www.ojdinteractiva.es/muestra_acta/medios-digitales/9795/10/2024/
ELPERIODICOMEDITERRANEO.COM,https://www.ojdinteractiva.es/muestra_acta/medios-digitales/245/10/2024/
ELPERIODICVALENCIA.COM,https://www.ojdinteractiva.es/muestra_acta/medios-digitales/9651/10/2024/
ELTEMPS.CAT,https://www.ojdinteractiva.es/muestra_acta/medios-digitales/9135/10/2024/
EMISORASMUSICALES.NET,https://www.ojdinteractiva.es/muestra_acta/medios-digitales/10207/10/2024/
ESCAPARATEDIGITAL.COM,https://www.ojdinteractiva.es/muestra_acta/medios-digitales/9295/10/2024/
ESDIARIO.COM - COMUNIDADVALENCIANA,https://www.ojdinteractiva.es/muestra_acta/medios-digitales/10943/10/2024/
EUROPAPRESS.ES - COMUNITAT VALENCIANA,https://www.ojdinteractiva.es/muestra_acta/medios-digitales/10651/10/2024/
GENTDELESCOMARQUES.COM,https://www.ojdinteractiva.es/muestra_acta/medios-digitales/10859/10/2024/
GOLSMEDIA.COM,https://www.ojdinteractiva.es/muestra_acta/medios-digitales/7571/10/2024/
HORTANOTICIAS.COM,https://www.ojdinteractiva.es/muestra_acta/medios-digitales/7359/10/2024/
INFONORD.ES,https://www.ojdinteractiva.es/muestra_acta/medios-digitales/10163/10/2024/
INFOTURIA.COM,https://www.ojdinteractiva.es/muestra_acta/medios-digitales/9191/10/2024/
INTERCOMARCAL.COM,https://www.ojdinteractiva.es/muestra_acta/medios-digitales/9683/10/2024/
INTERDIARIO.ES,https://www.ojdinteractiva.es/muestra_acta/medios-digitales/10927/10/2024/
JAVEA.COM,https://www.ojdinteractiva.es/muestra_acta/medios-digitales/9643/10/2024/
LAMARINAALTA.COM,https://www.ojdinteractiva.es/muestra_acta/medios-digitales/10035/10/2024/
LAOPINIONDETORRENT.ES,https://www.ojdinteractiva.es/muestra_acta/medios-digitales/7507/10/2024/
LASBANDASDEMUSICA.COM,https://www.ojdinteractiva.es/muestra_acta/medios-digitales/9631/10/2024/
LAVEUDELLIRIA.COM,https://www.ojdinteractiva.es/muestra_acta/medios-digitales/9575/10/2024/
LAVEUDELSLLIBRES.CAT,https://www.ojdinteractiva.es/muestra_acta/medios-digitales/9823/10/2024/
LESMUNTANYES.COM,https://www.ojdinteractiva.es/muestra_acta/medios-digitales/7583/10/2024/
LEVANTE-EMV.COM,https://www.ojdinteractiva.es/muestra_acta/medios-digitales/9583/10/2024/
LLETRAFERIT.COM,https://www.ojdinteractiva.es/muestra_acta/medios-digitales/10843/10/2024/
LOCLAR.ES,https://www.ojdinteractiva.es/muestra_acta/medios-digitales/9303/10/2024/
MARINAALTA.ES,https://www.ojdinteractiva.es/muestra_acta/medios-digitales/10359/10/2024/
MONOVER.COM,https://www.ojdinteractiva.es/muestra_acta/medios-digitales/10311/10/2024/
MONTGORADIO.ES,https://www.ojdinteractiva.es/muestra_acta/medios-digitales/11031/10/2024/
NOSALTRESLAVEU.CAT,https://www.ojdinteractiva.es/muestra_acta/medios-digitales/8227/10/2024/
NOSTRESPORT.COM,https://www.ojdinteractiva.es/muestra_acta/medios-digitales/2445/10/2024/
NOTICIASCV.COM,https://www.ojdinteractiva.es/muestra_acta/medios-digitales/8059/10/2024/
NOTICIASMARINAALTA.ES,https://www.ojdinteractiva.es/muestra_acta/medios-digitales/9311/10/2024/
OFFICIALPRESS.ES,https://www.ojdinteractiva.es/muestra_acta/medios-digitales/10791/10/2024/
PAGINA66.COM,https://www.ojdinteractiva.es/muestra_acta/medios-digitales/4795/10/2024/
PERIODICONTINYENT.COM,https://www.ojdinteractiva.es/muestra_acta/medios-digitales/9271/10/2024/
PORTALDEXATIVA.ES,https://www.ojdinteractiva.es/muestra_acta/medios-digitales/10563/10/2024/
PROXIMIATV.COM,https://www.ojdinteractiva.es/muestra_acta/medios-digitales/10039/10/2024/
RADIOBANDA.COM,https://www.ojdinteractiva.es/muestra_acta/medios-digitales/10387/10/2024/
RADIOESPORT914.COM,https://www.ojdinteractiva.es/muestra_acta/medios-digitales/9719/10/2024/
RADIOLITORAL.COM,https://www.ojdinteractiva.es/muestra_acta/medios-digitales/10343/10/2024/
REVISTAPOBLE.NET,https://www.ojdinteractiva.es/muestra_acta/medios-digitales/9067/10/2024/
REVISTASAO.CAT,https://www.ojdinteractiva.es/muestra_acta/medios-digitales/9099/10/2024/
REVISTAUALA.COM,https://www.ojdinteractiva.es/muestra_acta/medios-digitales/10091/10/2024/
TELEELX.ES,https://www.ojdinteractiva.es/muestra_acta/medios-digitales/3422/10/2024/
TUCOMARCA.COM,https://www.ojdinteractiva.es/muestra_acta/medios-digitales/9623/10/2024/
TV-A.ES,https://www.ojdinteractiva.es/muestra_acta/medios-digitales/10031/10/2024/
TVDENIA.COM,https://www.ojdinteractiva.es/muestra_acta/medios-digitales/11023/10/2024/
TVDIGITALONTINYENT.COM,https://www.ojdinteractiva.es/muestra_acta/medios-digitales/9207/10/2024/
VALENCIABASE.COM,https://www.ojdinteractiva.es/muestra_acta/medios-digitales/9615/10/2024/
VALENCIABONITA.ES,https://www.ojdinteractiva.es/muestra_acta/medios-digitales/10871/10/2024/
VALENCIACITY.ES,https://www.ojdinteractiva.es/muestra_acta/medios-digitales/7391/10/2024/
VALENCIADIARI.COM,https://www.ojdinteractiva.es/muestra_acta/medios-digitales/6434/10/2024/
VALENCIAEXTRA.COM,https://www.ojdinteractiva.es/muestra_acta/medios-digitales/7267/10/2024/
VALENCIANEWS.ES,https://www.ojdinteractiva.es/muestra_acta/medios-digitales/10423/10/2024/
VALENCIANOTICIAS.COM,https://www.ojdinteractiva.es/muestra_acta/medios-digitales/7343/10/2024/
VALENCIAPLAZA.COM,https://www.ojdinteractiva.es/muestra_acta/medios-digitales/1942/10/2024/
VILA-REALINFORMACIO.COM,https://www.ojdinteractiva.es/muestra_acta/medios-digitales/9003/10/2024/
VIUVALENCIA.COM,https://www.ojdinteractiva.es/muestra_acta/medios-digitales/9799/10/2024/
XTRADIO.ES,https://www.ojdinteractiva.es/muestra_acta/medios-digitales/7775/10/2024/
APUNTMENORCA.COM,https://www.ojdinteractiva.es/muestra_acta/medios-digitales/10103/10/2024/
ARA.CAT - ARABALEARS.CAT,https://www.ojdinteractiva.es/muestra_acta/medios-digitales/4523/10/2024/
ARTSMALLORCA.COM,https://www.ojdinteractiva.es/muestra_acta/medios-digitales/10807/10/2024/
BALEARES-SINFRONTERAS.COM,https://www.ojdinteractiva.es/muestra_acta/medios-digitales/6258/10/2024/
BALEARSVADEVI.CAT,https://www.ojdinteractiva.es/muestra_acta/medios-digitales/9127/10/2024/
CANAL4DIARIO.COM,https://www.ojdinteractiva.es/muestra_acta/medios-digitales/10439/10/2024/
CRONICABALEAR.ES,https://www.ojdinteractiva.es/muestra_acta/medios-digitales/5916/10/2024/
DBALEARS.CAT,https://www.ojdinteractiva.es/muestra_acta/medios-digitales/3530/10/2024/
DIARIODEIBIZA.ES,https://www.ojdinteractiva.es/muestra_acta/medios-digitales/568/10/2024/
DIARIODEMALLORCA.ES,https://www.ojdinteractiva.es/muestra_acta/medios-digitales/613/10/2024/
DIARIODEMARRATXI.COM,https://www.ojdinteractiva.es/muestra_acta/medios-digitales/9847/10/2024/
DIGITALMANACOR.COM,https://www.ojdinteractiva.es/muestra_acta/medios-digitales/9891/10/2024/
ECONOMIADEMALLORCA.COM,https://www.ojdinteractiva.es/muestra_acta/medios-digitales/6414/10/2024/
ELDIARIO.ES - ILLES BALEARS,https://www.ojdinteractiva.es/muestra_acta/medios-digitales/9943/10/2024/
ELIRIS.CAT,https://www.ojdinteractiva.es/muestra_acta/medios-digitales/8651/10/2024/
ELSOLLER.CAT,https://www.ojdinteractiva.es/muestra_acta/medios-digitales/5790/10/2024/
EUROPAPRESS.ES - ILLES BALEARS,https://www.ojdinteractiva.es/muestra_acta/medios-digitales/10635/10/2024/
FIBWIDIARIO.COM,https://www.ojdinteractiva.es/muestra_acta/medios-digitales/7071/10/2024/
FIRESIFESTES.ES,https://www.ojdinteractiva.es/muestra_acta/medios-digitales/6024/10/2024/
FORAVILA.NET,https://www.ojdinteractiva.es/muestra_acta/medios-digitales/9287/10/2024/
FUTBOLDESDEMALLORCA.COM,https://www.ojdinteractiva.es/muestra_acta/medios-digitales/10403/10/2024/
GACETANAUTICA.ES,https://www.ojdinteractiva.es/muestra_acta/medios-digitales/8555/10/2024/
GASTRONOMICAMENT.CAT,https://www.ojdinteractiva.es/muestra_acta/medios-digitales/6519/10/2024/
MAJORCADAILYBULLETIN.COM,https://www.ojdinteractiva.es/muestra_acta/medios-digitales/6180/10/2024/
MALLORCACONFIDENCIAL.COM,https://www.ojdinteractiva.es/muestra_acta/medios-digitales/6599/10/2024/
MALLORCADIARIO.COM,https://www.ojdinteractiva.es/muestra_acta/medios-digitales/4623/10/2024/
MALLORCAMAGAZIN.COM,https://www.ojdinteractiva.es/muestra_acta/medios-digitales/6178/10/2024/
MALLORCAZEITUNG.ES,https://www.ojdinteractiva.es/muestra_acta/medios-digitales/572/10/2024/
MANACORNOTICIAS.COM,https://www.ojdinteractiva.es/muestra_acta/medios-digitales/9871/10/2024/
MENORCA.INFO,https://www.ojdinteractiva.es/muestra_acta/medios-digitales/6176/10/2024/
MENORCAALDIA.COM,https://www.ojdinteractiva.es/muestra_acta/medios-digitales/6655/10/2024/
NOUDIARI.ES,https://www.ojdinteractiva.es/muestra_acta/medios-digitales/6547/10/2024/
OKDIARIO.COM - OKBALEARES,https://www.ojdinteractiva.es/muestra_acta/medios-digitales/9839/10/2024/
PALMESANA.COM,https://www.ojdinteractiva.es/muestra_acta/medios-digitales/9815/10/2024/
PASIONPORELMAR.COM,https://www.ojdinteractiva.es/muestra_acta/medios-digitales/10571/10/2024/
PERIODICODEIBIZA.ES,https://www.ojdinteractiva.es/muestra_acta/medios-digitales/5586/10/2024/
REVISTA07500.COM,https://www.ojdinteractiva.es/muestra_acta/medios-digitales/9751/10/2024/
SAVEU.CAT,https://www.ojdinteractiva.es/muestra_acta/medios-digitales/5868/10/2024/
UEPMALLORCA.APP,https://www.ojdinteractiva.es/muestra_acta/medios-digitales/10391/10/2024/
ULTIMAHORA.ES,https://www.ojdinteractiva.es/muestra_acta/medios-digitales/6174/10/2024/
ELNACIONAL.CAT - CATALÀ,https://www.ojdinteractiva.es/muestra_acta/mitjans-digitals-en-catala/5870/10/2024/
RAC1.CAT,https://www.ojdinteractiva.es/muestra_acta/mitjans-digitals-en-catala/6058/10/2024/
ARA.CAT - CATALÀ,https://www.ojdinteractiva.es/muestra_acta/mitjans-digitals-en-catala/5308/10/2024/
GRUP ELMON.CAT,https://www.ojdinteractiva.es/muestra_acta/mitjans-digitals-en-catala/3488/10/2024/
BALEARSVADEVI.CAT,https://www.ojdinteractiva.es/muestra_acta/mitjans-digitals-en-catala/9127/10/2024/
CASTELLONOTICIES.COM,https://www.ojdinteractiva.es/muestra_acta/mitjans-digitals-en-catala/9835/10/2024/
DIARILAVEU.CAT,https://www.ojdinteractiva.es/muestra_acta/mitjans-digitals-en-catala/4886/10/2024/
ELMON.CAT,https://www.ojdinteractiva.es/muestra_acta/mitjans-digitals-en-catala/3490/10/2024/
ELMON.CAT - ISABADELL.CAT,https://www.ojdinteractiva.es/muestra_acta/mitjans-digitals-en-catala/4888/10/2024/
ELMON.CAT - ELCINEFIL.CAT,https://www.ojdinteractiva.es/muestra_acta/mitjans-digitals-en-catala/6076/10/2024/
ELMON.CAT - VADEVI,https://www.ojdinteractiva.es/muestra_acta/mitjans-digitals-en-catala/6246/10/2024/
ELMON.CAT - TOTBARCELONA.CAT,https://www.ojdinteractiva.es/muestra_acta/mitjans-digitals-en-catala/7691/10/2024/
ELMON.CAT - VADEGUST,https://www.ojdinteractiva.es/muestra_acta/mitjans-digitals-en-catala/8275/10/2024/
LAVEUDELSLLIBRES.CAT,https://www.ojdinteractiva.es/muestra_acta/mitjans-digitals-en-catala/9823/10/2024/
MONESPORT.CAT,https://www.ojdinteractiva.es/muestra_acta/mitjans-digitals-en-catala/6975/10/2024/
MONPLANETA.CAT,https://www.ojdinteractiva.es/muestra_acta/mitjans-digitals-en-catala/8279/10/2024/
MONTERRASSA.CAT,https://www.ojdinteractiva.es/muestra_acta/mitjans-digitals-en-catala/6280/10/2024/
NOSALTRESLAVEU.CAT,https://www.ojdinteractiva.es/muestra_acta/mitjans-digitals-en-catala/8227/10/2024/
TORNAVEU.CAT,https://www.ojdinteractiva.es/muestra_acta/mitjans-digitals-en-catala/10023/10/2024/
E-NOTICIES - E-NOTICIES.CAT,https://www.ojdinteractiva.es/muestra_acta/mitjans-digitals-en-catala/3044/10/2024/
BETEVE.CAT,https://www.ojdinteractiva.es/muestra_acta/mitjans-digitals-en-catala/339/10/2024/
EL PUNT AVUI.CAT,https://www.ojdinteractiva.es/muestra_acta/mitjans-digitals-en-catala/1796/10/2024/
EL PUNT AVUI.CAT - LECONOMIC,https://www.ojdinteractiva.es/muestra_acta/mitjans-digitals-en-catala/3238/10/2024/
EL PUNT AVUI.CAT - LESPORTIUDECATALUNYA.CAT,https://www.ojdinteractiva.es/muestra_acta/mitjans-digitals-en-catala/3240/10/2024/
DIARIDEGIRONA.CAT,https://www.ojdinteractiva.es/muestra_acta/mitjans-digitals-en-catala/567/10/2024/
XCATALUNYA.CAT - CATALA,https://www.ojdinteractiva.es/muestra_acta/mitjans-digitals-en-catala/7223/10/2024/
REGIÓ7.CAT,https://www.ojdinteractiva.es/muestra_acta/mitjans-digitals-en-catala/570/10/2024/
