media,pdf_link,zipcode
7DIESACTUALITAT.COM,https://www.ojdinteractiva.es/muestra_acta/medios-digitales/9263/10/2024/,12500
7TELEVALENCIA.COM,https://www.ojdinteractiva.es/muestra_acta/medios-digitales/9167/10/2024/,46988
ACTUALIDADCASTELLON.COM,https://www.ojdinteractiva.es/muestra_acta/medios-digitales/10407/10/2024/,46007
ACTUALIDADVALENCIA.COM,https://www.ojdinteractiva.es/muestra_acta/medios-digitales/7939/10/2024/,46007
AGENDADEISA.COM,https://www.ojdinteractiva.es/muestra_acta/medios-digitales/10971/10/2024/,46112
AGRONEWSCOMUNITATVALENCIANA.COM,https://www.ojdinteractiva.es/muestra_acta/medios-digitales/9027/10/2024/,46009
ALGEMESIALDIA.COM,https://www.ojdinteractiva.es/muestra_acta/medios-digitales/7615/10/2024/,46680
ALICANTEPLAZA.ES,https://www.ojdinteractiva.es/muestra_acta/medios-digitales/7635/10/2024/,
ALICANTEXTRA.COM,https://www.ojdinteractiva.es/muestra_acta/medios-digitales/7827/10/2024/,46017
AQUIMEDIOSDECOMUNICACION.COM,https://www.ojdinteractiva.es/muestra_acta/medios-digitales/8687/10/2024/,03204
ARAMULTIMEDIA.COM,https://www.ojdinteractiva.es/muestra_acta/medios-digitales/9675/10/2024/,03801
BETERA.COM,https://www.ojdinteractiva.es/muestra_acta/medios-digitales/7319/10/2024/,46190
CAMP-DE-TURIA.ES,https://www.ojdinteractiva.es/muestra_acta/medios-digitales/10291/10/2024/,46190
CANAL56.COM,https://www.ojdinteractiva.es/muestra_acta/medios-digitales/9775/10/2024/,12500
CASTELLO24.COM,https://www.ojdinteractiva.es/muestra_acta/medios-digitales/9607/10/2024/,46005
CASTELLOEXTRA.COM,https://www.ojdinteractiva.es/muestra_acta/medios-digitales/7831/10/2024/,46017
CASTELLONBASE.COM,https://www.ojdinteractiva.es/muestra_acta/medios-digitales/9599/10/2024/,12006
CASTELLONDIARIO.COM,https://www.ojdinteractiva.es/muestra_acta/medios-digitales/10887/10/2024/,12130
CASTELLONINFORMACION.COM,https://www.ojdinteractiva.es/muestra_acta/medios-digitales/8999/10/2024/,12004
CASTELLONOTICIES.COM,https://www.ojdinteractiva.es/muestra_acta/medios-digitales/9835/10/2024/,08221
CASTELLONPLAZA.COM,https://www.ojdinteractiva.es/muestra_acta/medios-digitales/8667/10/2024/,46002
CBNOTICIAS.COM,https://www.ojdinteractiva.es/muestra_acta/medios-digitales/10687/10/2024/,03110
COMARCAL.TV,https://www.ojdinteractiva.es/muestra_acta/medios-digitales/9703/10/2024/,46800
COMARCALCV.COM,https://www.ojdinteractiva.es/muestra_acta/medios-digitales/7351/10/2024/,46900
COMARQUESNORD.CAT,https://www.ojdinteractiva.es/muestra_acta/medios-digitales/1076/10/2024/,44586
COPEALCOY.ES,https://www.ojdinteractiva.es/muestra_acta/medios-digitales/9691/10/2024/,46013
CRONICA.ES,https://www.ojdinteractiva.es/muestra_acta/medios-digitales/10127/10/2024/,46900
DENIA.COM,https://www.ojdinteractiva.es/muestra_acta/medios-digitales/9639/10/2024/,03700
DIADIA.CAT,https://www.ojdinteractiva.es/muestra_acta/medios-digitales/9667/10/2024/,12150
DIARIDELMAESTRAT.COM,https://www.ojdinteractiva.es/muestra_acta/medios-digitales/9255/10/2024/,12500
DIARIDIGITAL.ES,https://www.ojdinteractiva.es/muestra_acta/medios-digitales/7479/10/2024/,46800
DIARILAVEU.CAT,https://www.ojdinteractiva.es/muestra_acta/medios-digitales/4886/10/2024/,08221
DIARIO SIGLO XXI,https://www.ojdinteractiva.es/muestra_acta/medios-digitales/3224/10/2024/,46015
DIARIODEALICANTE.NET,https://www.ojdinteractiva.es/muestra_acta/medios-digitales/7935/10/2024/,46007
DIARIODELPUERTO.COM,https://www.ojdinteractiva.es/muestra_acta/medios-digitales/1009/10/2024/,46120
DIGITALES DE LA MARINA ALTA Y BAIXA (P),https://www.ojdinteractiva.es/muestra_acta/medios-digitales/8815/10/2024/,03725
BENISSADIGITAL.ES,https://www.ojdinteractiva.es/muestra_acta/medios-digitales/8823/10/2024/,03725
CALPDIGITAL.ES,https://www.ojdinteractiva.es/muestra_acta/medios-digitales/8819/10/2024/,03725
DENIADIGITAL.ES,https://www.ojdinteractiva.es/muestra_acta/medios-digitales/8831/10/2024/,03725
TEULADAMORAIRADIGITAL.ES,https://www.ojdinteractiva.es/muestra_acta/medios-digitales/8827/10/2024/,03725
XABIAALDIA.COM,https://www.ojdinteractiva.es/muestra_acta/medios-digitales/8835/10/2024/,03725
E6D.ES,https://www.ojdinteractiva.es/muestra_acta/medios-digitales/9659/10/2024/,46612
ELCAFEDEPIPA.COM,https://www.ojdinteractiva.es/muestra_acta/medios-digitales/7035/10/2024/,12600
ELDIARIO.ES - COMUNIDAD VALENCIANA,https://www.ojdinteractiva.es/muestra_acta/medios-digitales/8195/10/2024/,28028
ELDIARIO.ES - LA MARINA PLAZA,https://www.ojdinteractiva.es/muestra_acta/medios-digitales/7211/10/2024/,28028
ELMERIDIANO.ES,https://www.ojdinteractiva.es/muestra_acta/medios-digitales/7327/10/2024/,46023
ELNOSTRECIUTAT.COM,https://www.ojdinteractiva.es/muestra_acta/medios-digitales/9231/10/2024/,03801
ELPERIODIC.COM,https://www.ojdinteractiva.es/muestra_acta/medios-digitales/2441/10/2024/,12530
ELPERIODICODEAQUI.COM,https://www.ojdinteractiva.es/muestra_acta/medios-digitales/9795/10/2024/,46017
ELPERIODICOMEDITERRANEO.COM,https://www.ojdinteractiva.es/muestra_acta/medios-digitales/245/10/2024/,12005
ELPERIODICVALENCIA.COM,https://www.ojdinteractiva.es/muestra_acta/medios-digitales/9651/10/2024/,46600
ELTEMPS.CAT,https://www.ojdinteractiva.es/muestra_acta/medios-digitales/9135/10/2024/,46001
EMISORASMUSICALES.NET,https://www.ojdinteractiva.es/muestra_acta/medios-digitales/10207/10/2024/,03204
ESCAPARATEDIGITAL.COM,https://www.ojdinteractiva.es/muestra_acta/medios-digitales/9295/10/2024/,03440
ESDIARIO.COM - COMUNIDADVALENCIANA,https://www.ojdinteractiva.es/muestra_acta/medios-digitales/10943/10/2024/,28006
EUROPAPRESS.ES - COMUNITAT VALENCIANA,https://www.ojdinteractiva.es/muestra_acta/medios-digitales/10651/10/2024/,28046
GENTDELESCOMARQUES.COM,https://www.ojdinteractiva.es/muestra_acta/medios-digitales/10859/10/2024/,46870
GOLSMEDIA.COM,https://www.ojdinteractiva.es/muestra_acta/medios-digitales/7571/10/2024/,46005
HORTANOTICIAS.COM,https://www.ojdinteractiva.es/muestra_acta/medios-digitales/7359/10/2024/,46020
INFONORD.ES,https://www.ojdinteractiva.es/muestra_acta/medios-digitales/10163/10/2024/,12600
INFOTURIA.COM,https://www.ojdinteractiva.es/muestra_acta/medios-digitales/9191/10/2024/,46183
INTERCOMARCAL.COM,https://www.ojdinteractiva.es/muestra_acta/medios-digitales/9683/10/2024/,03410
INTERDIARIO.ES,https://www.ojdinteractiva.es/muestra_acta/medios-digitales/10927/10/2024/,46020
JAVEA.COM,https://www.ojdinteractiva.es/muestra_acta/medios-digitales/9643/10/2024/,03700
LAMARINAALTA.COM,https://www.ojdinteractiva.es/muestra_acta/medios-digitales/10035/10/2024/,03700
LAOPINIONDETORRENT.ES,https://www.ojdinteractiva.es/muestra_acta/medios-digitales/7507/10/2024/,46900
LASBANDASDEMUSICA.COM,https://www.ojdinteractiva.es/muestra_acta/medios-digitales/9631/10/2024/,46011
LAVEUDELLIRIA.COM,https://www.ojdinteractiva.es/muestra_acta/medios-digitales/9575/10/2024/,46190
LAVEUDELSLLIBRES.CAT,https://www.ojdinteractiva.es/muestra_acta/medios-digitales/9823/10/2024/,08221
LESMUNTANYES.COM,https://www.ojdinteractiva.es/muestra_acta/medios-digitales/7583/10/2024/,03801
LEVANTE-EMV.COM,https://www.ojdinteractiva.es/muestra_acta/medios-digitales/9583/10/2024/,46014
LLETRAFERIT.COM,https://www.ojdinteractiva.es/muestra_acta/medios-digitales/10843/10/2024/,46010
LOCLAR.ES,https://www.ojdinteractiva.es/muestra_acta/medios-digitales/9303/10/2024/,46870
MARINAALTA.ES,https://www.ojdinteractiva.es/muestra_acta/medios-digitales/10359/10/2024/,03700
MONOVER.COM,https://www.ojdinteractiva.es/muestra_acta/medios-digitales/10311/10/2024/,03640
MONTGORADIO.ES,https://www.ojdinteractiva.es/muestra_acta/medios-digitales/11031/10/2024/,03700
NOSALTRESLAVEU.CAT,https://www.ojdinteractiva.es/muestra_acta/medios-digitales/8227/10/2024/,08221
NOSTRESPORT.COM,https://www.ojdinteractiva.es/muestra_acta/medios-digitales/2445/10/2024/,46019
NOTICIASCV.COM,https://www.ojdinteractiva.es/muestra_acta/medios-digitales/8059/10/2024/,46010
NOTICIASMARINAALTA.ES,https://www.ojdinteractiva.es/muestra_acta/medios-digitales/9311/10/2024/,03700
OFFICIALPRESS.ES,https://www.ojdinteractiva.es/muestra_acta/medios-digitales/10791/10/2024/,46185
PAGINA66.COM,https://www.ojdinteractiva.es/muestra_acta/medios-digitales/4795/10/2024/,03801
PERIODICONTINYENT.COM,https://www.ojdinteractiva.es/muestra_acta/medios-digitales/9271/10/2024/,46870
PORTALDEXATIVA.ES,https://www.ojdinteractiva.es/muestra_acta/medios-digitales/10563/10/2024/,46800
PROXIMIATV.COM,https://www.ojdinteractiva.es/muestra_acta/medios-digitales/10039/10/2024/,46005
RADIOBANDA.COM,https://www.ojdinteractiva.es/muestra_acta/medios-digitales/10387/10/2024/,46869
RADIOESPORT914.COM,https://www.ojdinteractiva.es/muestra_acta/medios-digitales/9719/10/2024/,46015
RADIOLITORAL.COM,https://www.ojdinteractiva.es/muestra_acta/medios-digitales/10343/10/2024/,03720
REVISTAPOBLE.NET,https://www.ojdinteractiva.es/muestra_acta/medios-digitales/9067/10/2024/,12540
REVISTASAO.CAT,https://www.ojdinteractiva.es/muestra_acta/medios-digitales/9099/10/2024/,46018
REVISTAUALA.COM,https://www.ojdinteractiva.es/muestra_acta/medios-digitales/10091/10/2024/,03690
TELEELX.ES,https://www.ojdinteractiva.es/muestra_acta/medios-digitales/3422/10/2024/,03202
TUCOMARCA.COM,https://www.ojdinteractiva.es/muestra_acta/medios-digitales/9623/10/2024/,46360
TV-A.ES,https://www.ojdinteractiva.es/muestra_acta/medios-digitales/10031/10/2024/,03420
TVDENIA.COM,https://www.ojdinteractiva.es/muestra_acta/medios-digitales/11023/10/2024/,03700
TVDIGITALONTINYENT.COM,https://www.ojdinteractiva.es/muestra_acta/medios-digitales/9207/10/2024/,46870
VALENCIABASE.COM,https://www.ojdinteractiva.es/muestra_acta/medios-digitales/9615/10/2024/,12560
VALENCIABONITA.ES,https://www.ojdinteractiva.es/muestra_acta/medios-digitales/10871/10/2024/,46970
VALENCIACITY.ES,https://www.ojdinteractiva.es/muestra_acta/medios-digitales/7391/10/2024/,46005
VALENCIADIARI.COM,https://www.ojdinteractiva.es/muestra_acta/medios-digitales/6434/10/2024/,46007
VALENCIAEXTRA.COM,https://www.ojdinteractiva.es/muestra_acta/medios-digitales/7267/10/2024/,46017
VALENCIANEWS.ES,https://www.ojdinteractiva.es/muestra_acta/medios-digitales/10423/10/2024/,46004
VALENCIANOTICIAS.COM,https://www.ojdinteractiva.es/muestra_acta/medios-digitales/7343/10/2024/,46130
VALENCIAPLAZA.COM,https://www.ojdinteractiva.es/muestra_acta/medios-digitales/1942/10/2024/,46002
VILA-REALINFORMACIO.COM,https://www.ojdinteractiva.es/muestra_acta/medios-digitales/9003/10/2024/,12004
VIUVALENCIA.COM,https://www.ojdinteractiva.es/muestra_acta/medios-digitales/9799/10/2024/,46017
XTRADIO.ES,https://www.ojdinteractiva.es/muestra_acta/medios-digitales/7775/10/2024/,46800
APUNTMENORCA.COM,https://www.ojdinteractiva.es/muestra_acta/medios-digitales/10103/10/2024/,07701
ARA.CAT - ARABALEARS.CAT,https://www.ojdinteractiva.es/muestra_acta/medios-digitales/4523/10/2024/,08015
ARTSMALLORCA.COM,https://www.ojdinteractiva.es/muestra_acta/medios-digitales/10807/10/2024/,07184
BALEARES-SINFRONTERAS.COM,https://www.ojdinteractiva.es/muestra_acta/medios-digitales/6258/10/2024/,07002
BALEARSVADEVI.CAT,https://www.ojdinteractiva.es/muestra_acta/medios-digitales/9127/10/2024/,08221
CANAL4DIARIO.COM,https://www.ojdinteractiva.es/muestra_acta/medios-digitales/10439/10/2024/,07121
CRONICABALEAR.ES,https://www.ojdinteractiva.es/muestra_acta/medios-digitales/5916/10/2024/,07004
DBALEARS.CAT,https://www.ojdinteractiva.es/muestra_acta/medios-digitales/3530/10/2024/,07001
DIARIODEIBIZA.ES,https://www.ojdinteractiva.es/muestra_acta/medios-digitales/568/10/2024/,07800
DIARIODEMALLORCA.ES,https://www.ojdinteractiva.es/muestra_acta/medios-digitales/613/10/2024/,07006
DIARIODEMARRATXI.COM,https://www.ojdinteractiva.es/muestra_acta/medios-digitales/9847/10/2024/,07009
DIGITALMANACOR.COM,https://www.ojdinteractiva.es/muestra_acta/medios-digitales/9891/10/2024/,07500
ECONOMIADEMALLORCA.COM,https://www.ojdinteractiva.es/muestra_acta/medios-digitales/6414/10/2024/,30100
ELDIARIO.ES - ILLES BALEARS,https://www.ojdinteractiva.es/muestra_acta/medios-digitales/9943/10/2024/,28028
ELIRIS.CAT,https://www.ojdinteractiva.es/muestra_acta/medios-digitales/8651/10/2024/,07760
ELSOLLER.CAT,https://www.ojdinteractiva.es/muestra_acta/medios-digitales/5790/10/2024/,07011
EUROPAPRESS.ES - ILLES BALEARS,https://www.ojdinteractiva.es/muestra_acta/medios-digitales/10635/10/2024/,28046
FIBWIDIARIO.COM,https://www.ojdinteractiva.es/muestra_acta/medios-digitales/7071/10/2024/,07009
FIRESIFESTES.ES,https://www.ojdinteractiva.es/muestra_acta/medios-digitales/6024/10/2024/,07350
FORAVILA.NET,https://www.ojdinteractiva.es/muestra_acta/medios-digitales/9287/10/2024/,07100
FUTBOLDESDEMALLORCA.COM,https://www.ojdinteractiva.es/muestra_acta/medios-digitales/10403/10/2024/,07006
GACETANAUTICA.ES,https://www.ojdinteractiva.es/muestra_acta/medios-digitales/8555/10/2024/,07009
GASTRONOMICAMENT.CAT,https://www.ojdinteractiva.es/muestra_acta/medios-digitales/6519/10/2024/,07005
MAJORCADAILYBULLETIN.COM,https://www.ojdinteractiva.es/muestra_acta/medios-digitales/6180/10/2024/,07011
MALLORCACONFIDENCIAL.COM,https://www.ojdinteractiva.es/muestra_acta/medios-digitales/6599/10/2024/,07013
MALLORCADIARIO.COM,https://www.ojdinteractiva.es/muestra_acta/medios-digitales/4623/10/2024/,07141
MALLORCAMAGAZIN.COM,https://www.ojdinteractiva.es/muestra_acta/medios-digitales/6178/10/2024/,07011
MALLORCAZEITUNG.ES,https://www.ojdinteractiva.es/muestra_acta/medios-digitales/572/10/2024/,07006
MANACORNOTICIAS.COM,https://www.ojdinteractiva.es/muestra_acta/medios-digitales/9871/10/2024/,07500
MENORCA.INFO,https://www.ojdinteractiva.es/muestra_acta/medios-digitales/6176/10/2024/,07714
MENORCAALDIA.COM,https://www.ojdinteractiva.es/muestra_acta/medios-digitales/6655/10/2024/,07702
NOUDIARI.ES,https://www.ojdinteractiva.es/muestra_acta/medios-digitales/6547/10/2024/,07800
OKDIARIO.COM - OKBALEARES,https://www.ojdinteractiva.es/muestra_acta/medios-digitales/9839/10/2024/,28033
PALMESANA.COM,https://www.ojdinteractiva.es/muestra_acta/medios-digitales/9815/10/2024/,07005
PASIONPORELMAR.COM,https://www.ojdinteractiva.es/muestra_acta/medios-digitales/10571/10/2024/,07005
PERIODICODEIBIZA.ES,https://www.ojdinteractiva.es/muestra_acta/medios-digitales/5586/10/2024/,07800
REVISTA07500.COM,https://www.ojdinteractiva.es/muestra_acta/medios-digitales/9751/10/2024/,07500
SAVEU.CAT,https://www.ojdinteractiva.es/muestra_acta/medios-digitales/5868/10/2024/,07100
UEPMALLORCA.APP,https://www.ojdinteractiva.es/muestra_acta/medios-digitales/10391/10/2024/,07011
ULTIMAHORA.ES,https://www.ojdinteractiva.es/muestra_acta/medios-digitales/6174/10/2024/,07011
ELNACIONAL.CAT - CATALÀ,https://www.ojdinteractiva.es/muestra_acta/mitjans-digitals-en-catala/5870/10/2024/,08029
RAC1.CAT,https://www.ojdinteractiva.es/muestra_acta/mitjans-digitals-en-catala/6058/10/2024/,08036
ARA.CAT - CATALÀ,https://www.ojdinteractiva.es/muestra_acta/mitjans-digitals-en-catala/5308/10/2024/,08015
GRUP ELMON.CAT,https://www.ojdinteractiva.es/muestra_acta/mitjans-digitals-en-catala/3488/10/2024/,08221
BALEARSVADEVI.CAT,https://www.ojdinteractiva.es/muestra_acta/mitjans-digitals-en-catala/9127/10/2024/,08221
CASTELLONOTICIES.COM,https://www.ojdinteractiva.es/muestra_acta/mitjans-digitals-en-catala/9835/10/2024/,08221
DIARILAVEU.CAT,https://www.ojdinteractiva.es/muestra_acta/mitjans-digitals-en-catala/4886/10/2024/,08221
ELMON.CAT,https://www.ojdinteractiva.es/muestra_acta/mitjans-digitals-en-catala/3490/10/2024/,08221
ELMON.CAT - ISABADELL.CAT,https://www.ojdinteractiva.es/muestra_acta/mitjans-digitals-en-catala/4888/10/2024/,08221
ELMON.CAT - ELCINEFIL.CAT,https://www.ojdinteractiva.es/muestra_acta/mitjans-digitals-en-catala/6076/10/2024/,08221
ELMON.CAT - VADEVI,https://www.ojdinteractiva.es/muestra_acta/mitjans-digitals-en-catala/6246/10/2024/,08221
ELMON.CAT - TOTBARCELONA.CAT,https://www.ojdinteractiva.es/muestra_acta/mitjans-digitals-en-catala/7691/10/2024/,08007
ELMON.CAT - VADEGUST,https://www.ojdinteractiva.es/muestra_acta/mitjans-digitals-en-catala/8275/10/2024/,08221
LAVEUDELSLLIBRES.CAT,https://www.ojdinteractiva.es/muestra_acta/mitjans-digitals-en-catala/9823/10/2024/,08221
MONESPORT.CAT,https://www.ojdinteractiva.es/muestra_acta/mitjans-digitals-en-catala/6975/10/2024/,08221
MONPLANETA.CAT,https://www.ojdinteractiva.es/muestra_acta/mitjans-digitals-en-catala/8279/10/2024/,08221
MONTERRASSA.CAT,https://www.ojdinteractiva.es/muestra_acta/mitjans-digitals-en-catala/6280/10/2024/,08221
NOSALTRESLAVEU.CAT,https://www.ojdinteractiva.es/muestra_acta/mitjans-digitals-en-catala/8227/10/2024/,08221
TORNAVEU.CAT,https://www.ojdinteractiva.es/muestra_acta/mitjans-digitals-en-catala/10023/10/2024/,08221
E-NOTICIES - E-NOTICIES.CAT,https://www.ojdinteractiva.es/muestra_acta/mitjans-digitals-en-catala/3044/10/2024/,08025
BETEVE.CAT,https://www.ojdinteractiva.es/muestra_acta/mitjans-digitals-en-catala/339/10/2024/,08018
EL PUNT AVUI.CAT,https://www.ojdinteractiva.es/muestra_acta/mitjans-digitals-en-catala/1796/10/2024/,17005
EL PUNT AVUI.CAT - LECONOMIC,https://www.ojdinteractiva.es/muestra_acta/mitjans-digitals-en-catala/3238/10/2024/,17005
EL PUNT AVUI.CAT - LESPORTIUDECATALUNYA.CAT,https://www.ojdinteractiva.es/muestra_acta/mitjans-digitals-en-catala/3240/10/2024/,17005
DIARIDEGIRONA.CAT,https://www.ojdinteractiva.es/muestra_acta/mitjans-digitals-en-catala/567/10/2024/,17002
XCATALUNYA.CAT - CATALA,https://www.ojdinteractiva.es/muestra_acta/mitjans-digitals-en-catala/7223/10/2024/,17001
REGIÓ7.CAT,https://www.ojdinteractiva.es/muestra_acta/mitjans-digitals-en-catala/570/10/2024/,08243
