media,zipcode,1_Month,daily_avg,mon_fri_avg,sat_sun_avg,pages_per_visit,avg_visit_duration,avg_interaction_time
NOSALTRESLAVEU.CAT,08221,2.424,85,89,75,"1,14",0:02:02,0:00:51
TORNAVEU.CAT,08221,4.227,160,179,106,"1,43",0:02:57,0:01:01
E-NOTICIES - E-NOTICIES.CAT,08025,848.652,113.578,118.043,100.740,"1,45",0:03:18,0:08:09
BETEVE.CAT,08018,813.519,49.973,51.089,46.766,"1,52",0:02:39,0:02:01
EL PUNT AVUI.CAT,17005,686.317,43.857,44.975,40.641,"2,32",0:03:06,0:03:12
EL PUNT AVUI.CAT - LECONOMIC,17005,7.605,296,318,233,"2,56",0:12:45,0:02:06
EL PUNT AVUI.CAT - LESPORTIUDECATALUNYA.CAT,17005,108.343,5.412,5.537,5.051,"2,08",0:04:28,0:01:51
DIARIDEGIRONA.CAT,17002,678.887,62.303,64.115,57.096,"1,98",0:04:03,0:05:20
XCATALUNYA.CAT - CATALA,17001,635.636,74.067,73.952,74.397,"1,24",0:02:01,0:04:35
REGIÓ7.CAT,08243,628.992,54.636,55.982,50.765,"1,77",0:03:20,0:04:36
SEGRE.COM - CATALÀ,25007,370.050,29.554,30.287,27.447,"2,06",0:03:33,0:04:10
TIMEOUT.CAT,08002,347.250,14.720,13.547,18.094,"1,26",0:01:22,0:00:50
CATALUNYADIARI.COM,08006,346.772,33.004,31.503,37.319,"1,27",0:02:46,0:04:53
GRUP RACOCATALA (P),08010,295.741,12.862,13.390,11.342,"1,88",0:03:31,0:01:52
AUDIO.CAT,08010,2.332,87,97,60,"1,71",0:02:14,0:00:36
RACOCATALA.CAT,08010,183.436,8.540,8.946,7.374,"1,96",0:03:32,0:02:24
RACOCATALA.CAT - VERSOS.CAT,08010,13.041,483,520,378,"2,31",0:03:43,0:01:29
RACOCATALA.CAT - NATIONALIA.CAT,08010,1.311,53,60,36,"1,64",0:03:27,0:01:30
RACOCATALA.CAT - BLOG.CAT,08010,7.133,260,283,194,"1,22",0:03:07,0:01:18
SOCIAL.CAT,08010,19.736,823,961,428,"1,54",0:04:50,0:01:26
VIASONA.CAT,08010,90.730,3.446,3.439,3.465,"1,74",0:03:10,0:00:38
EMPORDA.INFO,17600,241.524,15.669,15.890,15.034,"1,47",0:02:32,0:02:24
SOM,08020,225.702,9.151,9.264,8.826,"1,38",0:01:54,0:00:53
CUINA.CAT,08020,111.092,4.321,4.180,4.728,"1,34",0:01:47,0:00:43
DESCOBRIR.CAT,08020,55.941,2.120,2.229,1.808,"1,49",0:02:09,0:01:01
MOLLETAMA.CAT,08020,2.528,102,112,74,"1,50",0:01:40,0:00:50
PETITSAPIENS.CAT,08020,9.397,367,419,219,"3,05",0:03:52,0:01:30
SAPIENS.CAT,08020,18.496,738,799,560,"1,85",0:03:24,0:02:13
SOMGRANOLLERS.CAT,08020,13.174,632,711,405,"1,48",0:02:25,0:01:26
SOMLALLAGOSTA.CAT,08020,1.210,50,56,33,"1,31",0:01:35,0:00:59
SOMLESFRANQUESES.CAT,08020,2.419,98,107,71,"1,46",0:02:13,0:00:59
SOMMARTORELLES.CAT,08020,1.487,64,70,48,"1,36",0:01:59,0:00:58
SOMMOLLET.CAT,08020,15.141,772,749,837,"1,49",0:01:59,0:01:24
SOMMONTMELO.CAT,08020,1.816,89,107,36,"1,29",0:01:32,0:01:09
SOMMONTORNES.CAT,08020,2.962,134,119,177,"1,28",0:01:45,0:01:03
SOMPARETS.CAT,08020,2.171,90,101,59,"1,44",0:01:52,0:01:00
SOMSANTFOST.CAT,08020,2.529,115,136,55,"1,37",0:01:46,0:01:15
SOMVALLES.CAT,08020,4.485,170,175,156,"1,28",0:02:03,0:01:04
LACIUTAT.CAT - CATALÀ,43004,210.763,11.705,12.214,10.242,"1,18",0:01:13,0:00:47
DIARIDETERRASSA.COM,08221,198.368,12.721,13.335,10.953,"1,80",0:02:17,0:02:43
ARA.CAT - ARABALEARS.CAT,08015,197.683,11.467,11.922,10.161,"1,32",0:01:42,0:01:40
DIARIDESABADELL.COM,08201,182.649,13.040,13.821,10.793,"1,69",0:02:28,0:03:13
ELPERIODICO.CAT,08908,175.761,9.026,9.353,8.087,"1,90",0:05:02,0:02:19
DIARIMES.COM - CATALÀ,43005,156.302,9.367,10.555,5.951,"1,58",0:01:18,-
CATORZE.CAT,08024,152.675,6.564,7.071,5.108,"1,43",0:02:06,0:01:32
TARRAGONADIGITAL.COM,08202,148.177,7.350,7.727,6.264,"1,41",0:01:48,0:01:20
EL9NOU.CAT,08500,146.320,9.368,9.797,8.136,"1,85",0:02:39,0:02:23
DIARIANDORRA.AD,,135.152,12.482,13.006,10.976,"2,28",0:03:40,0:06:56
LAREPUBLICA.CAT (P),08014,129.663,5.965,6.290,5.030,"1,65",0:02:15,0:01:33
ELMONCASTELLER.CAT,08014,28.938,1.440,1.520,1.211,"1,78",0:02:02,0:01:40
FESTADIRECTE.CAT,08014,228,5,6,3,"1,65",0:02:17,0:03:07
LAREPUBLICA.CAT,08014,50.285,2.642,2.731,2.388,"1,56",0:02:23,0:02:00
LASREPUBLICAS.COM,08014,1.624,49,51,44,"1,61",0:02:06,0:01:37
MESECONOMIA.CAT,08014,467,17,18,14,"1,37",0:01:38,0:00:37
SOCPETIT.CAT,08014,26.279,994,1.070,777,"1,86",0:03:26,0:01:35
TERRITORIRURAL.CAT,08014,334,12,13,9,"2,07",0:02:33,0:00:41
EBREDIGITAL.CAT,43500,129.439,6.375,6.528,5.935,"1,36",0:01:53,0:01:27
EBREDIGITAL.CAT - IMAGINARADIO.CAT,43500,10.437,430,504,218,"1,31",0:02:14,0:01:01
EBREDIGITAL.CAT - SETMANARILEBRE.CAT,43500,33.269,1.428,1.660,760,"1,44",0:01:47,0:01:03
ELMONDELATELE.CAT,08202,126.145,5.741,6.017,4.945,"1,51",0:01:53,0:01:23
SURTDECASA.CAT,43520,121.307,5.015,4.345,6.942,"2,09",0:03:03,0:01:28
LÍNIA COMUNICACIÓ21,08013,115.650,4.608,5.203,2.897,"1,28",0:02:02,0:01:04
COMUNICACIO21.CAT,08013,8.947,414,499,181,"1,47",0:03:13,0:01:30
CULTURA21.CAT,08013,2.530,96,108,60,"1,33",0:02:40,0:00:57
CULTURAB.CAT,08025,1.360,56,61,40,"1,51",0:03:32,0:01:10
ESPAI.MEDIA.CAT,08013,1.518,66,80,25,"1,47",0:03:08,0:01:02
EXTERIOR.CAT,08013,10.458,412,472,239,"1,30",0:02:37,0:01:21
LINIAXARXA.CAT,08013,85.219,3.397,3.805,2.226,"1,25",0:01:52,0:01:07
ORGULL.BARCELONA,08025,3.665,137,152,96,"1,46",0:02:32,0:00:56
ARA.CAT - NUVOL.COM,08001,113.554,5.601,5.971,4.537,"1,39",0:03:01,0:02:22
CATALUNYARELIGIO.CAT - CATALÀ,08025,109.857,3.969,4.739,1.755,"1,16",0:01:38,0:01:02
TOTSANTCUGAT.CAT,08172,104.256,5.379,5.773,4.247,"1,57",0:01:53,0:01:06
REUSDIGITAL.CAT,43201,103.948,4.350,4.801,3.052,"1,29",0:01:42,0:01:17
VIAEMPRESA.CAT - CATALA,08172,95.092,4.217,4.712,2.795,"1,38",0:02:11,0:01:36
DBALEARS.CAT,07001,95.038,5.040,5.004,5.143,"1,45",0:02:25,0:02:08
CAPGROS.COM - CATALA,08302,94.858,5.791,6.225,4.543,"1,59",0:02:02,0:02:02
RADIOSABADELL.FM,08202,82.469,3.229,3.369,2.827,"1,27",0:01:19,0:00:45
AGUAITA.CAT,08202,68.640,3.841,4.433,2.139,"1,38",0:01:40,0:01:25
EIXDIARI.CAT,08800,66.165,3.834,4.069,3.159,"1,81",0:02:32,0:01:53
DIRECTA.CAT,08028,64.774,2.654,2.711,2.492,"1,36",0:01:57,0:01:08
FESTACATALUNYA.CAT,08711,60.465,2.481,2.064,3.680,"3,09",0:03:03,0:01:31
ELTRIANGLE.EU - CATALA,08029,55.847,2.523,2.723,1.948,"1,61",0:01:59,0:01:45
ARA.CAT - ARA.AD,08015,55.004,3.155,3.361,2.565,"1,33",0:01:36,0:01:26
ELCRITIC.CAT,08010,54.864,2.225,2.473,1.511,"1,83",0:05:04,0:02:20
ADOLESCENTS.CAT,08500,54.116,2.547,2.655,2.234,"2,10",0:01:17,-
PALLARSDIGITAL.CAT,25620,53.059,3.172,3.436,2.412,"1,55",0:02:05,0:02:24
AQUIBERGUEDA.CAT,08600,52.203,2.573,2.904,1.620,"1,24",0:01:53,0:01:27
ENDERROCK.CAT,08008,48.187,1.877,1.934,1.713,"1,67",0:02:12,0:00:16
ENDERROCK.CAT - EDR,08008,1.135,43,39,58,"3,03",0:02:43,0:00:17
FIRESCATALANES.CAT,08750,47.020,1.693,1.285,2.866,"1,50",0:01:49,0:01:07
VEUANOIA.CAT,08700,45.180,2.371,2.593,1.731,"1,43",0:01:51,0:01:38
CATALUNYAPRESS.CAT- CATALÀ,08007,44.633,1.815,2.049,1.142,"1,13",0:02:01,0:00:42
ELTEMPS.CAT,46001,41.473,1.838,1.863,1.765,"1,55",0:03:50,0:03:00
CUGAT.CAT,08172,40.904,1.951,2.093,1.542,"1,76",0:03:05,0:01:30
LAMANYANA.CAT,25004,39.564,2.409,2.303,2.713,"1,65",0:02:12,0:02:07
TOTRUBI.CAT,08172,35.099,1.814,2.019,1.226,"1,43",0:01:35,0:01:05
REVISTACAMBRILS.CAT,43850,34.400,2.060,2.177,1.725,"1,83",0:02:22,0:02:43
LAPREMSADELBAIX.ES,08940,28.536,1.111,1.223,792,"1,28",0:01:23,0:00:51
ELPERIÒDIC.AD,,27.073,1.422,1.483,1.246,"1,72",0:02:58,0:02:09
DIARIEDUCACIO.CAT,08029,25.319,1.014,1.110,738,"1,43",0:03:28,0:01:39
DIARIEDUCACIO.CAT - DIARIFP.CAT,08029,949,35,39,24,"1,33",0:02:38,0:01:25
TOTCERDANYOLA.CAT,08172,21.849,1.028,1.069,908,"1,36",0:01:41,0:00:57
ELCARGOL.COM,08720,20.124,1.068,1.215,647,"1,46",0:01:54,0:01:27
JUNIOR-REPORT.CAT,08010,18.888,866,1.066,293,"2,09",0:06:16,0:04:14
VIUREALSPIRINEUS.CAT,25700,18.640,735,744,709,"1,62",0:02:38,0:01:31
VIUMOLINSDEREI.COM,08750,18.220,865,958,598,"1,55",0:01:46,0:01:22
TARRAGONA21.CAT,43007,16.429,637,584,788,"1,35",0:01:39,0:00:45
COMARQUESDEPONENT.COM,25300,15.946,609,661,460,"1,49",0:02:19,0:00:52
LABUSTIA.CAT,08640,15.282,702,753,556,"1,30",0:01:43,0:01:18
LAFURAPENEDES.CAT,08720,14.769,654,714,483,"1,65",0:01:37,0:00:01
LLEIDADIARI.CAT,25001,13.446,954,995,834,"1,21",0:01:25,0:01:41
RADIOCAPITAL.CAT,17256,13.134,656,727,452,"1,60",0:02:49,0:01:38
ANOIADIARI.CAT,08700,12.675,723,775,574,"1,86",0:02:18,0:01:59
MARFANTA.COM,43500,12.596,727,805,504,"1,52",0:02:57,0:03:15
CANAL21EBRE.COM,03500,12.285,584,614,501,"1,63",0:03:00,0:02:12
THENEWBARCELONAPOST.CAT - CATALA,08008,10.746,455,451,468,"1,54",0:02:58,0:01:51
CATALUNYAMAGRADA.CAT - CATALA,08172,10.711,384,386,379,"1,26",0:01:24,0:00:36
INFOANOIA.CAT,08788,10.026,579,638,407,"1,54",0:00:48,-
TERRITORIS.CAT,25230,8.521,312,348,210,"1,34",0:01:35,0:00:36
LAMIRA.CAT,08010,8.294,340,348,318,"1,55",0:03:20,0:02:20
INFONORD.ES,12600,8.020,351,403,201,"1,24",0:01:56,0:00:59
NOVATARREGA.CAT,25300,7.359,335,358,270,"1,52",0:02:16,0:01:18
GASTRONOMICAMENT.CAT - CATALA,07005,7.107,248,236,283,"1,18",0:01:59,0:00:55
PANXING.NET,08339,6.978,254,253,256,"1,64",0:02:23,0:00:58
BALAGUER.TV,25600,6.880,251,283,159,"1,20",0:01:28,0:00:33
ELCUGATENC.CAT,08171,6.845,292,329,185,"1,56",0:03:32,0:01:57
SAVEU.CAT,07100,6.688,576,625,435,"1,48",0:01:59,0:02:46
CATALUNYAPLURAL.CAT - CATALA,08029,6.431,246,270,176,"1,27",0:03:46,0:01:36
VALENCIADIARI.COM,46007,6.357,279,337,111,"1,35",0:01:56,0:01:30
MOLLERUSSA.TV,25230,5.824,201,199,206,"1,13",0:01:12,0:00:21
INFOCAMP.CAT,43001,5.754,240,240,241,"1,32",0:01:36,0:00:58
RÀDIO CIUTAT DE TARRAGONA,43005,4.667,197,224,121,"1,87",0:03:39,0:01:03
PIRINEUSTV.CAT,25700,4.581,195,205,165,"1,91",0:03:14,0:01:56
UEPMALLORCA.APP,07011,4.543,168,171,160,"1,65",0:01:59,0:00:40
ELSOLLER.CAT,07011,4.490,267,277,238,"1,51",0:03:56,0:01:52
JORNAL.CAT,08176,4.393,184,215,95,"1,66",0:03:34,0:01:03
PIRINEUSDIGITAL.CAT,25700,4.362,229,249,171,"1,60",0:02:34,0:01:14
TDBACTUALITAT.CAT,43830,4.065,185,199,144,"1,31",0:01:51,0:01:05
ALDIA.CAT,08015,4.020,156,173,106,"1,90",0:07:48,0:00:28
EXPRESDESANTANDREU.CAT,08389,3.802,173,189,127,"1,62",0:01:29,-
VALORS.ORG,08301,3.704,138,157,82,"1,44",0:03:02,0:01:19
AMICFICCIONS.CAT,08007,3.090,154,184,69,"4,59",0:07:09,0:07:32
COMARQUESNORD.CAT,44586,3.085,197,221,128,"2,00",0:02:31,0:01:51
TARREGA.TV,25300,2.572,89,103,46,"1,18",0:01:36,0:00:27
MESEBRE.CAT,43007,2.475,98,111,60,"1,72",0:02:26,0:00:42
LAGUIADEREUS.COM,43203,2.424,93,95,86,"1,80",0:02:20,0:00:52
PLAURGELLTV.CAT,25007,2.307,111,131,54,"2,32",0:02:41,0:02:00
RUBITV.CAT,08202,2.216,111,121,82,"1,45",0:01:58,0:01:06
LESVEGUERIES.CAT,08720,2.175,77,95,25,"1,44",0:01:34,0:00:38
MANRESADIARI.CAT,08243,2.153,96,98,90,"2,56",0:04:02,0:01:56
ELCAFEDEPIPA.COM,12600,2.063,93,94,89,"1,23",0:01:29,0:00:56
FIRESIFESTES.ES - CATALÀ,07350,2.060,73,50,138,"1,92",0:01:46,0:00:48
BELLATERRADIARI.CAT,08193,2.047,89,100,59,"1,73",0:02:37,0:01:25
AMIC,08007,1.984,84,91,66,"1,80",0:01:38,-
MESOSONA.CAT,08500,1.965,82,91,57,"1,99",0:03:21,0:01:00
ONABAGES.CAT,08650,1.954,76,85,52,"1,42",0:01:58,0:00:38
GARRIGUESTV.CAT,25007,1.938,83,95,50,"2,16",0:02:53,0:01:39
INDICADORDEECONOMIA.COM,43203,1.468,59,67,35,"1,78",0:02:40,0:01:15
DIARISANITAT.CAT,08029,1.256,52,57,38,"1,48",0:03:39,0:01:29
FOSBURY.CAT,08750,1.199,45,49,32,"1,28",0:02:03,0:00:54
LACONCA51.CAT,43400,1.081,38,42,26,"1,44",0:02:48,0:01:22
SEGARRATV.CAT,25007,996,41,45,30,"2,14",0:01:46,0:01:21
NOTICIESTGN.CAT,43003,837,29,35,13,"1,24",0:01:34,0:00:46
SEGRIATV.CAT,25007,794,29,31,23,"2,13",0:03:05,0:01:20
RADIOVALIRA.AD,25700,745,35,38,27,"1,82",0:05:54,0:01:23
NOGUERATV.CAT,25007,595,23,26,15,"2,12",0:02:39,0:01:15
EBREEXPERIENCE.COM,43007,593,22,23,20,"1,61",0:03:00,0:00:47
BAIX CAMP RADIO,43005,536,21,22,16,"1,17",0:02:10,0:00:39
DIARITREBALL.CAT,08029,434,18,21,8,"1,34",0:06:46,0:01:07
URGELLTV.CAT,25007,398,16,18,11,"2,01",0:02:37,0:01:08
21RADIO.CAT,03500,198,9,9,7,"1,76",0:02:36,0:00:59
AUE.CAT,25007,182,8,9,7,"1,93",0:02:33,0:00:45
FEMBASE.CAT,25001,160,7,8,4,"1,96",0:03:24,0:01:02
AMICIB.MEDIA,08007,142,6,6,3,"1,90",0:02:30,0:00:36
